,Player,Pos,FG-per-36,FGA-per-36,FG%-per-36,3P-per-36,3PA-per-36,3P%-per-36,2P-per-36,2PA-per-36,2P%-per-36,FT-per-36,FTA-per-36,FT%-per-36,ORB-per-36,DRB-per-36,TRB-per-36,AST-per-36,STL-per-36,BLK-per-36,TOV-per-36,PF-per-36,PTS-per-36,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Fast Break Pts,Points In Paint,Points off TO,2nd Chance PTS,Q1 Points Per Game,Q2 Points Per Game,Q3 Points Per Game,Q4 Points Per Game,Points scored per shot,A2TO,MPG
416,Ben Simmons,PG,7.2,13.2,0.545,0.0,0.1,0.0,7.2,13.0,0.551,2.5,4.5,0.56,1.9,6.8,8.7,8.7,1.8,0.9,3.7,2.8,16.9,81,2732,20.0,0.557,0.011000000000000001,0.342,5.9,19.5,13.0,37.4,2.5,2.1,19.5,22.3,4.2,5.0,9.2,0.162,1.0,3.6,4.6,4.6,1.82,12.88,2.97,1.68,4.73,3.53,3.83,4.02,1.262,0.4252873563218391,33.72839506172839
417,Jonathon Simmons,SG,6.3,13.5,0.465,1.2,3.6,0.33799999999999997,5.1,9.9,0.512,3.3,4.3,0.768,1.1,3.2,4.2,3.0,1.0,0.3,2.6,3.1,17.1,69,2029,12.7,0.555,0.268,0.317,3.3,9.7,6.5,13.3,1.4,0.6,14.4,22.0,0.8,1.1,1.9,0.045,-1.0,-1.3,-2.3,-0.2,1.93,6.62,2.0,1.57,3.34,2.59,4.54,3.46,1.272,0.8666666666666667,29.405797101449274
420,Marcus Smart,SG,4.2,11.5,0.36700000000000005,1.7,5.6,0.301,2.5,5.9,0.429,2.2,3.0,0.7290000000000001,1.0,3.3,4.2,5.8,1.6,0.5,2.9,3.0,12.3,54,1614,10.8,0.479,0.483,0.258,3.0,9.8,6.4,23.7,2.2,1.2,18.4,19.4,-0.6,2.5,1.9,0.055999999999999994,-1.6,1.1,-0.5,0.6,0.5,3.3,1.44,1.0,2.11,2.85,2.7,2.48,1.068,0.5,29.88888888888889
431,Jayson Tatum,SF,5.9,12.3,0.475,1.6,3.6,0.434,4.3,8.8,0.49200000000000005,3.1,3.8,0.826,0.7,5.2,5.9,1.9,1.2,0.9,1.7,2.5,16.4,80,2438,15.3,0.586,0.29,0.309,2.3,15.6,9.0,8.3,1.7,2.0,10.7,19.5,3.0,4.0,7.1,0.139,-0.5,1.5,1.0,1.8,1.93,4.74,2.32,1.09,3.1,3.13,3.32,3.75,1.33,0.8947368421052632,30.475
433,Jeff Teague,PG,5.5,12.4,0.446,1.3,3.6,0.368,4.2,8.8,0.47700000000000004,3.1,3.7,0.845,0.4,2.9,3.3,7.7,1.6,0.4,2.8,2.7,15.5,70,2311,16.4,0.5529999999999999,0.287,0.301,1.2,9.3,5.2,30.6,2.2,0.8,16.4,20.6,3.4,1.4,4.9,0.10099999999999999,1.5,-1.3,0.2,1.3,1.33,6.24,2.31,0.48,3.76,2.93,4.81,2.02,1.232,0.3636363636363636,33.01428571428571
441,Klay Thompson,SG,8.3,16.9,0.488,3.3,7.5,0.44,5.0,9.5,0.526,1.2,1.4,0.8370000000000001,0.4,3.5,4.0,2.7,0.8,0.5,1.8,1.7,21.0,73,2506,16.1,0.598,0.442,0.083,1.5,10.3,6.2,11.2,1.1,1.1,9.5,23.7,3.2,1.8,4.9,0.094,1.8,-2.4,-0.6,0.9,3.83,4.06,2.64,1.23,5.14,5.22,4.52,4.95,1.24,0.6666666666666666,34.32876712328767
445,Karl-Anthony Towns,C,7.9,14.5,0.545,1.5,3.5,0.42100000000000004,6.4,10.9,0.585,4.3,5.0,0.858,2.9,9.5,12.5,2.5,0.8,1.4,2.0,3.5,21.5,82,2918,24.9,0.6459999999999999,0.243,0.34299999999999997,9.3,30.9,20.0,10.8,1.1,3.5,10.5,22.9,10.6,3.4,14.0,0.23,4.4,1.1,5.5,5.5,0.71,10.12,3.04,3.86,4.28,6.12,5.17,5.04,1.501,0.8,35.58536585365854
456,Nikola Vucevic,C,8.5,18.0,0.475,1.4,4.4,0.314,7.2,13.6,0.527,1.6,2.0,0.8190000000000001,2.2,9.0,11.2,4.1,1.2,1.3,2.3,3.1,20.1,57,1683,19.7,0.5329999999999999,0.243,0.11199999999999999,6.6,27.8,17.1,19.9,1.6,3.0,11.0,25.9,1.3,2.3,3.6,0.102,0.6,2.1,2.7,2.0,1.35,8.48,2.33,2.04,5.8,3.3,5.63,2.41,1.176,0.5609756097560976,29.526315789473685
458,Dion Waiters,SG,6.4,16.1,0.39799999999999996,2.0,6.7,0.306,4.4,9.4,0.46299999999999997,2.0,2.7,0.7390000000000001,0.3,2.7,3.0,4.4,0.9,0.4,2.7,2.4,16.8,30,918,10.5,0.48700000000000004,0.415,0.168,1.0,8.5,4.7,19.8,1.3,0.8,13.7,25.0,-0.7,0.8,0.1,0.004,-2.0,-2.0,-4.0,-0.5,0.97,5.53,2.1,1.1,4.4,3.0,3.3,3.37,1.046,0.6136363636363636,30.6
459,Kemba Walker,PG,7.7,17.9,0.431,3.0,7.9,0.384,4.7,10.0,0.469,4.8,5.5,0.8640000000000001,0.4,2.8,3.3,5.8,1.2,0.3,2.4,1.3,23.3,80,2736,20.6,0.5720000000000001,0.441,0.308,1.2,8.7,4.9,27.4,1.6,0.7,10.4,27.4,6.5,2.0,8.5,0.15,5.1,-1.9,3.2,3.6,2.6,6.06,3.36,1.37,5.24,6.06,5.58,5.7,1.2930000000000001,0.41379310344827586,34.2
460,John Wall,PG,7.1,17.0,0.42,1.6,4.3,0.371,5.6,12.8,0.436,4.5,6.2,0.726,0.6,3.3,3.8,10.0,1.5,1.1,4.0,2.0,20.3,41,1410,19.1,0.515,0.25,0.361,1.8,10.2,6.0,44.5,2.0,2.8,17.0,29.1,1.2,1.5,2.7,0.092,1.6,0.0,1.5,1.2,3.3,7.89,3.62,1.59,5.32,4.0,5.65,4.05,1.187,0.4,34.390243902439025
463,TJ Warren,SF,8.9,17.9,0.498,0.3,1.5,0.222,8.6,16.4,0.523,3.2,4.3,0.757,2.1,3.5,5.6,1.4,1.1,0.7,1.4,2.5,21.4,65,2142,17.6,0.541,0.085,0.24,6.1,10.5,8.3,7.2,1.5,1.5,6.7,24.9,2.6,0.8,3.4,0.077,-0.1,-1.7,-1.9,0.1,4.73,12.0,3.52,2.75,4.66,4.92,5.39,4.72,1.2,1.0,32.95384615384615
467,Russell Westbrook,PG,9.4,20.8,0.449,1.2,4.0,0.298,8.2,16.8,0.485,5.2,7.0,0.737,1.9,8.1,9.9,10.1,1.8,0.2,4.7,2.5,25.1,80,2914,24.7,0.524,0.193,0.336,5.6,25.7,15.3,49.8,2.5,0.6,16.4,34.1,5.5,4.5,10.1,0.166,5.1,3.1,8.2,7.5,5.44,11.26,5.16,2.69,6.29,6.54,6.47,5.63,1.194,0.46534653465346537,36.425
473,Andrew Wiggins,SF,6.9,15.7,0.43799999999999994,1.4,4.1,0.331,5.5,11.6,0.475,2.4,3.8,0.643,1.0,3.3,4.3,1.9,1.1,0.6,1.7,2.0,17.5,82,2979,13.0,0.505,0.26,0.242,3.1,10.8,6.9,8.2,1.5,1.5,8.8,23.4,0.5,1.6,2.1,0.034,-1.1,-1.4,-2.5,-0.4,1.88,8.03,3.07,1.93,5.99,3.06,5.78,2.93,1.126,0.8947368421052632,36.329268292682926
477,Lou Williams,SG,8.1,18.6,0.435,2.6,7.2,0.359,5.5,11.4,0.484,6.0,6.8,0.88,0.6,2.2,2.8,5.8,1.2,0.3,3.3,1.5,24.8,79,2589,20.2,0.574,0.387,0.36700000000000005,1.7,6.6,4.2,26.3,1.6,0.6,13.1,29.8,5.5,1.2,6.7,0.125,3.8,-2.9,1.0,2.0,2.7,6.88,2.8,1.61,3.89,6.11,5.61,7.35,1.35,0.5689655172413793,32.77215189873418
490,Thaddeus Young,PF,5.8,11.9,0.48700000000000004,0.8,2.5,0.32,5.0,9.4,0.531,0.8,1.3,0.598,2.5,4.5,7.1,2.1,1.9,0.5,1.4,2.4,13.2,81,2607,14.8,0.528,0.209,0.106,8.0,14.1,11.1,8.5,2.6,1.2,10.4,17.3,2.3,3.2,5.5,0.10099999999999999,0.1,1.4,1.5,2.3,1.36,7.42,2.28,1.94,3.65,3.14,2.8,2.04,1.1,0.6666666666666666,32.18518518518518
