,Player,Pos,FG-per-36,FGA-per-36,FG%-per-36,3P-per-36,3PA-per-36,3P%-per-36,2P-per-36,2PA-per-36,2P%-per-36,FT-per-36,FTA-per-36,FT%-per-36,ORB-per-36,DRB-per-36,TRB-per-36,AST-per-36,STL-per-36,BLK-per-36,TOV-per-36,PF-per-36,PTS-per-36,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Fast Break Pts,Points In Paint,Points off TO,2nd Chance PTS,Q1 Points Per Game,Q2 Points Per Game,Q3 Points Per Game,Q4 Points Per Game,Points scored per shot,A2TO,MPG
77,Kentavious Caldwell-Pope,SG,5.0,11.7,0.426,2.3,6.1,0.38299999999999995,2.7,5.6,0.473,2.2,2.8,0.789,0.9,4.8,5.7,2.4,1.6,0.2,1.4,2.1,14.5,74,2458,13.2,0.561,0.52,0.243,2.6,14.1,8.4,9.4,2.1,0.5,9.9,16.9,2.6,2.7,5.3,0.10300000000000001,0.6,0.4,1.0,1.9,3.0,3.43,2.58,1.52,3.63,2.85,4.18,2.8,1.245,0.5833333333333334,33.21621621621622
80,DeMarre Carroll,SF,5.4,13.0,0.414,2.4,6.5,0.371,3.0,6.5,0.457,3.1,4.1,0.764,1.7,6.2,7.9,2.4,1.0,0.5,1.7,2.7,16.2,73,2180,14.3,0.55,0.498,0.313,5.1,18.4,11.7,10.5,1.3,1.0,10.3,19.8,2.3,1.8,4.1,0.091,0.4,-0.3,0.2,1.2,1.62,4.54,2.02,2.0,3.76,3.13,3.9,2.59,1.234,0.7083333333333334,29.863013698630137
89,Wilson Chandler,SF,4.3,9.7,0.445,1.4,3.8,0.358,3.0,5.9,0.501,1.4,1.7,0.772,1.6,4.5,6.1,2.4,0.7,0.6,1.4,2.4,11.3,74,2346,11.0,0.542,0.39,0.18100000000000002,4.9,14.1,9.6,9.5,0.9,1.4,11.9,14.3,2.1,1.2,3.3,0.067,-0.5,-0.4,-0.9,0.6,1.18,4.71,1.74,1.29,2.47,2.82,3.16,1.5,1.1640000000000001,0.5833333333333334,31.7027027027027
98,Darren Collison,PG,5.6,11.4,0.495,1.7,3.7,0.46799999999999997,3.9,7.7,0.508,2.3,2.6,0.882,0.7,2.5,3.2,6.6,1.6,0.3,1.5,2.2,15.3,69,2018,18.8,0.61,0.321,0.226,2.1,7.8,5.0,26.4,2.3,0.7,10.9,17.4,5.8,1.8,7.6,0.18100000000000002,3.1,-1.0,2.2,2.1,2.66,3.57,2.82,0.95,3.91,2.36,4.59,1.86,1.359,0.2272727272727273,29.246376811594203
100,Mike Conley,PG,6.2,16.2,0.381,2.3,7.4,0.312,3.9,8.8,0.44,5.1,6.4,0.8029999999999999,0.0,2.6,2.6,4.7,1.2,0.3,1.7,2.3,19.8,12,373,15.4,0.52,0.45799999999999996,0.39299999999999996,0.0,8.6,4.2,22.2,1.6,0.8,8.4,25.9,0.4,0.2,0.6,0.077,1.2,-3.5,-2.3,0.0,1.67,5.83,1.92,0.75,3.75,4.17,3.42,5.75,1.22,0.36170212765957444,31.083333333333332
106,DeMarcus Cousins,C,8.4,17.9,0.47,2.2,6.1,0.354,6.3,11.8,0.53,6.1,8.2,0.746,2.2,10.6,12.8,5.3,1.6,1.6,5.0,3.8,25.1,48,1737,22.6,0.583,0.34,0.456,6.8,30.9,19.2,23.0,2.2,3.5,18.9,31.9,1.5,3.2,4.7,0.13,1.9,3.6,5.5,3.3,1.89,11.43,3.39,3.26,6.7,6.39,5.67,6.2,1.3980000000000001,0.9433962264150944,36.1875
107,Robert Covington,SF,4.9,11.9,0.413,2.9,7.8,0.369,2.0,4.1,0.49700000000000005,1.6,1.9,0.853,0.8,5.4,6.2,2.2,1.9,1.0,1.8,3.4,14.3,80,2532,12.9,0.563,0.6579999999999999,0.163,2.4,15.5,9.2,8.7,2.6,2.4,12.3,17.2,1.6,4.5,6.1,0.11599999999999999,0.4,2.1,2.5,2.9,1.97,2.83,2.32,1.58,3.18,3.4,3.31,2.6,1.205,0.8181818181818181,31.65
108,Allen Crabbe,SG,5.5,13.6,0.40700000000000003,3.3,8.7,0.37799999999999995,2.2,4.8,0.461,1.9,2.2,0.852,0.5,4.9,5.3,1.9,0.8,0.6,1.3,2.8,16.2,75,2197,12.3,0.5579999999999999,0.643,0.163,1.3,14.4,7.8,8.4,1.0,1.2,8.1,19.0,1.8,1.4,3.2,0.07,0.4,-1.2,-0.8,0.7,1.23,2.41,1.86,1.05,3.88,2.53,3.48,2.58,1.141,0.6842105263157895,29.293333333333333
114,Stephen Curry,PG,9.4,19.1,0.495,4.7,11.1,0.423,4.8,8.0,0.595,6.1,6.7,0.9209999999999999,0.8,5.0,5.8,6.8,1.8,0.2,3.4,2.5,29.7,51,1631,28.2,0.675,0.58,0.35,2.7,14.4,9.0,30.3,2.4,0.4,13.3,31.0,7.2,1.8,9.1,0.267,9.9,-1.3,8.6,4.4,4.38,5.46,4.13,1.44,8.13,5.69,9.85,2.92,1.567,0.5,31.980392156862745
116,Anthony Davis,PF,10.3,19.3,0.534,0.7,2.1,0.34,9.6,17.2,0.5579999999999999,6.5,7.9,0.828,2.5,8.5,11.0,2.3,1.5,2.5,2.1,2.1,27.9,75,2727,28.9,0.612,0.111,0.409,7.7,24.8,16.5,10.8,2.0,5.6,8.6,30.0,8.8,4.9,13.7,0.24100000000000002,2.8,2.3,5.2,4.9,3.46,14.95,4.22,4.63,8.14,7.12,6.66,5.88,1.4380000000000002,0.9130434782608696,36.36
124,DeMar DeRozan,SG,8.6,18.8,0.456,1.2,3.8,0.31,7.4,15.0,0.494,6.1,7.4,0.825,0.8,3.4,4.2,5.5,1.1,0.3,2.3,2.0,24.4,80,2711,21.0,0.555,0.203,0.396,2.5,10.4,6.5,25.0,1.5,0.6,9.5,29.6,6.8,2.8,9.6,0.17,2.7,-0.9,1.8,2.6,2.16,8.56,3.84,1.56,6.72,4.47,7.82,4.32,1.319,0.41818181818181815,33.8875
127,Spencer Dinwiddie,PG,5.1,13.1,0.387,2.2,6.8,0.326,2.9,6.3,0.452,3.4,4.2,0.813,0.6,3.4,4.0,8.2,1.1,0.4,2.0,2.9,15.7,80,2306,15.9,0.527,0.517,0.32,1.8,10.2,6.0,35.0,1.4,0.7,11.8,20.3,4.3,1.4,5.7,0.11800000000000001,2.1,-1.8,0.2,1.3,0.87,4.21,1.69,1.19,2.36,2.67,3.91,3.85,1.186,0.24390243902439027,28.825
132,Goran Dragic,PG,7.3,16.3,0.45,1.7,4.5,0.37,5.6,11.7,0.48100000000000004,3.3,4.1,0.8009999999999999,0.8,3.8,4.6,5.4,1.0,0.2,2.5,2.7,19.6,75,2378,16.6,0.5429999999999999,0.27899999999999997,0.252,2.5,12.0,7.2,25.4,1.3,0.4,12.2,25.7,2.9,2.3,5.3,0.106,1.0,-1.1,-0.1,1.2,2.25,7.63,3.16,0.92,5.14,4.31,4.45,3.36,1.193,0.4629629629629629,31.706666666666667
133,Andre Drummond,C,6.4,12.1,0.529,0.0,0.2,0.0,6.4,11.9,0.536,3.3,5.4,0.605,5.5,11.6,17.1,3.3,1.6,1.7,2.7,3.4,16.1,78,2625,22.9,0.555,0.012,0.44799999999999995,16.4,36.4,26.2,14.3,2.2,4.3,15.9,21.2,4.6,5.7,10.3,0.18899999999999997,0.2,5.3,5.5,5.0,1.18,11.82,2.26,5.45,4.21,2.79,4.41,3.48,1.3219999999999998,0.8181818181818182,33.65384615384615
135,Kris Dunn,PG,6.8,15.7,0.429,1.0,3.2,0.321,5.7,12.6,0.457,2.0,2.7,0.737,0.6,4.7,5.2,7.3,2.5,0.6,3.5,4.1,16.5,52,1525,14.5,0.488,0.201,0.171,1.6,14.4,7.8,33.3,3.3,1.6,17.3,24.7,-1.0,1.9,0.8,0.027000000000000003,-1.4,1.4,-0.1,0.7,1.5,6.08,2.17,1.19,3.79,2.35,3.56,3.56,1.05,0.4794520547945206,29.326923076923077
136,Kevin Durant,PF,9.8,18.9,0.516,2.7,6.4,0.419,7.1,12.5,0.565,5.6,6.3,0.889,0.5,6.7,7.2,5.7,0.8,1.8,3.2,2.1,27.7,68,2325,26.0,0.64,0.33799999999999997,0.331,1.6,19.5,11.2,25.5,1.0,4.0,12.9,30.4,7.5,2.9,10.4,0.215,5.0,0.7,5.6,4.5,4.49,7.8,3.88,1.98,7.76,6.31,7.93,4.37,1.482,0.5614035087719298,34.19117647058823
140,Joel Embiid,C,9.6,19.9,0.483,1.2,4.0,0.308,8.4,15.9,0.527,6.8,8.8,0.769,2.7,10.3,13.0,3.7,0.8,2.1,4.4,3.9,27.2,63,1912,22.9,0.573,0.203,0.442,8.4,29.7,19.4,18.0,1.0,4.8,15.6,33.4,2.3,3.8,6.2,0.155,0.1,2.5,2.6,2.2,0.52,10.43,2.36,3.02,6.59,5.16,6.07,5.43,1.369,1.1891891891891893,30.349206349206348
143,Tyreke Evans,PG,8.2,18.1,0.452,2.6,6.4,0.39899999999999997,5.6,11.7,0.48200000000000004,3.7,4.7,0.785,1.0,5.0,5.9,6.0,1.3,0.4,2.6,2.2,22.6,52,1607,21.1,0.561,0.354,0.258,3.1,16.3,9.5,31.2,1.8,1.0,11.5,28.4,3.1,1.2,4.2,0.126,4.4,-0.8,3.6,2.3,3.2,8.4,3.0,1.2,4.28,5.34,4.42,5.3,1.25,0.43333333333333335,30.903846153846153
154,Evan Fournier,SF,7.2,15.7,0.45899999999999996,2.5,6.6,0.379,4.7,9.2,0.516,2.9,3.4,0.867,0.5,3.1,3.5,3.2,0.9,0.3,1.9,2.7,19.9,57,1837,15.5,0.5770000000000001,0.418,0.21600000000000003,1.4,9.5,5.4,14.8,1.3,0.7,9.8,23.3,2.4,0.9,3.3,0.087,1.6,-2.1,-0.4,0.7,1.96,6.42,2.88,1.02,6.35,2.93,5.09,3.25,1.263,0.5937499999999999,32.228070175438596
159,Danilo Gallinari,SF,5.5,13.7,0.39799999999999996,1.9,6.0,0.324,3.5,7.8,0.455,4.3,4.7,0.9309999999999999,0.5,4.9,5.4,2.2,0.6,0.5,1.4,1.6,17.2,21,671,13.8,0.545,0.434,0.34,1.5,14.9,8.3,8.9,0.9,1.2,8.1,20.6,0.8,0.4,1.2,0.08800000000000001,0.0,-1.4,-1.4,0.1,1.42,4.0,2.0,1.37,5.11,4.16,3.53,3.16,1.2570000000000001,0.6363636363636362,31.952380952380953
161,Marc Gasol,C,6.5,15.4,0.42,1.6,4.8,0.341,4.9,10.7,0.456,4.2,5.0,0.8340000000000001,1.2,7.7,8.9,4.6,0.8,1.5,2.9,2.8,18.8,73,2408,17.4,0.532,0.31,0.326,3.7,25.3,14.2,21.7,1.1,3.9,14.1,25.6,1.5,2.6,4.0,0.08,-0.1,1.6,1.5,2.1,0.48,5.91,2.44,1.72,5.38,4.06,4.77,3.55,1.22,0.6304347826086957,32.986301369863014
164,Paul George,SF,7.2,16.7,0.43,3.0,7.6,0.401,4.1,9.1,0.45399999999999996,4.2,5.1,0.8220000000000001,0.9,4.7,5.6,3.3,2.0,0.5,2.6,2.9,21.6,79,2891,18.7,0.57,0.45399999999999996,0.307,2.7,14.9,8.6,14.5,2.8,1.2,12.2,25.7,5.0,3.9,8.9,0.14800000000000002,2.5,0.0,2.6,3.3,2.63,5.85,3.36,1.7,6.66,4.66,6.1,4.33,1.294,0.787878787878788,36.59493670886076
166,Taj Gibson,PF,5.6,9.7,0.5770000000000001,0.1,0.5,0.2,5.5,9.3,0.595,1.9,2.4,0.768,2.6,5.2,7.7,1.3,0.8,0.8,1.2,2.9,13.2,82,2726,15.4,0.61,0.047,0.251,8.1,16.7,12.4,5.2,1.1,1.9,9.8,14.7,5.4,1.7,7.2,0.126,0.9,0.2,1.1,2.1,0.67,8.87,1.99,2.74,4.75,2.74,3.3,1.62,1.36,0.923076923076923,33.24390243902439
168,Rudy Gobert,C,5.5,8.8,0.622,0.0,0.0,,5.5,8.8,0.622,4.0,5.9,0.682,3.3,8.6,11.9,1.6,0.9,2.6,2.1,3.0,15.0,56,1816,20.7,0.657,0.0,0.6729999999999999,10.4,27.0,18.8,6.9,1.2,6.0,15.7,16.9,4.2,3.9,8.1,0.214,-0.3,4.6,4.3,2.9,0.67,9.86,1.95,3.0,3.44,3.93,3.47,2.98,1.6880000000000002,1.3125,32.42857142857143
169,Aaron Gordon,PF,7.1,16.3,0.434,2.2,6.4,0.336,4.9,9.9,0.49700000000000005,3.0,4.2,0.698,1.6,7.0,8.6,2.6,1.1,0.8,2.0,2.1,19.3,58,1909,16.5,0.53,0.395,0.26,5.0,21.5,13.2,11.7,1.5,1.9,10.0,24.7,0.9,2.0,2.9,0.07200000000000001,0.0,0.0,0.0,1.0,2.77,7.23,2.66,2.28,6.28,3.36,5.91,2.66,1.219,0.7692307692307692,32.91379310344828
170,Eric Gordon,SG,6.9,16.2,0.428,3.6,10.2,0.359,3.3,6.1,0.544,3.3,4.0,0.809,0.4,2.4,2.8,2.6,0.7,0.5,2.2,1.9,20.8,69,2154,15.2,0.578,0.627,0.248,1.3,7.5,4.4,11.7,1.0,1.1,10.8,24.7,2.9,1.8,4.7,0.105,1.4,-2.4,-1.0,0.5,2.07,5.39,2.32,1.69,4.1,5.1,4.85,4.39,1.2830000000000001,0.8461538461538461,31.217391304347824
177,Draymond Green,PF,4.4,9.7,0.45399999999999996,1.2,4.0,0.301,3.2,5.7,0.562,2.1,2.7,0.775,1.2,7.2,8.4,8.0,1.5,1.4,3.2,2.9,12.2,70,2287,16.1,0.556,0.414,0.27899999999999997,3.9,21.1,13.1,29.0,2.0,3.1,22.5,17.2,2.6,3.4,6.1,0.127,0.4,2.7,3.2,3.0,2.04,5.72,1.75,1.11,2.74,2.51,3.25,2.91,1.26,0.4,32.67142857142857
181,Blake Griffin,PF,8.0,18.2,0.43799999999999994,2.0,5.9,0.345,5.9,12.3,0.48200000000000004,4.7,6.0,0.785,1.3,6.5,7.8,6.1,0.7,0.3,3.0,2.5,22.7,58,1970,19.6,0.544,0.32299999999999995,0.331,4.1,19.8,12.0,28.1,1.0,0.8,12.6,28.9,3.2,1.8,4.9,0.12,2.9,-0.1,2.8,2.4,1.27,9.65,3.27,2.27,6.73,5.21,6.0,3.67,1.2429999999999999,0.49180327868852464,33.96551724137931
183,James Harden,SG,9.2,20.4,0.449,3.7,10.2,0.36700000000000005,5.4,10.3,0.531,8.8,10.3,0.858,0.6,4.9,5.5,8.9,1.8,0.7,4.4,2.4,30.9,72,2551,29.8,0.619,0.498,0.502,1.8,15.2,8.6,45.1,2.4,1.7,15.1,36.1,11.6,3.8,15.4,0.289,9.6,1.3,10.9,8.3,2.12,9.13,5.05,1.82,9.47,7.3,8.5,5.65,1.524,0.49438202247191015,35.43055555555556
187,Gary Harris,SG,6.9,14.2,0.485,2.4,6.2,0.396,4.4,8.0,0.5529999999999999,2.1,2.5,0.8270000000000001,0.6,2.2,2.7,3.0,1.9,0.2,1.9,1.9,18.3,67,2304,16.5,0.597,0.434,0.17800000000000002,1.8,6.8,4.3,13.0,2.6,0.5,10.8,20.7,3.9,1.5,5.5,0.114,2.4,-1.5,0.9,1.7,3.15,6.74,3.4,1.75,5.48,3.83,5.35,2.95,1.291,0.6333333333333333,34.38805970149254
189,Tobias Harris,PF,7.6,16.5,0.46,2.5,6.0,0.41100000000000003,5.1,10.5,0.488,2.4,2.9,0.8290000000000001,0.8,5.1,5.9,2.6,1.0,0.5,1.4,2.2,20.1,80,2668,17.1,0.565,0.364,0.177,2.4,15.7,9.0,11.8,1.3,1.1,7.4,23.3,4.2,2.5,6.7,0.12,1.5,-0.8,0.7,1.8,1.82,7.11,2.95,1.32,7.15,2.8,5.91,2.82,1.235,0.5384615384615384,33.35
206,Jrue Holiday,SG,7.6,15.3,0.494,1.5,4.4,0.337,6.1,10.9,0.557,2.3,2.9,0.7859999999999999,0.8,3.7,4.5,6.0,1.5,0.8,2.6,2.5,18.9,81,2927,17.8,0.57,0.28600000000000003,0.191,2.4,10.8,6.8,24.9,2.0,1.7,13.6,23.1,4.2,2.9,7.1,0.11599999999999999,1.8,0.3,2.1,3.0,2.48,9.94,2.55,1.17,4.97,4.53,5.42,4.26,1.2409999999999999,0.43333333333333335,36.135802469135804
207,Justin Holiday,SG,4.6,12.4,0.371,2.6,7.1,0.359,2.1,5.3,0.387,2.1,2.6,0.823,0.5,4.1,4.6,2.4,1.3,0.5,1.5,2.1,13.9,72,2265,10.8,0.513,0.574,0.21,1.4,12.8,6.9,10.1,1.7,1.2,9.8,18.2,0.1,1.6,1.7,0.036000000000000004,-1.0,-0.3,-1.3,0.4,1.24,2.0,1.9,0.81,4.54,2.14,3.98,2.15,1.155,0.625,31.458333333333332
213,Al Horford,C,5.8,11.9,0.489,1.5,3.6,0.429,4.3,8.3,0.514,1.5,1.9,0.7829999999999999,1.6,6.8,8.4,5.4,0.7,1.2,2.1,2.2,14.7,72,2277,17.6,0.575,0.3,0.159,5.0,20.2,12.7,23.6,0.9,2.9,14.1,18.4,4.0,3.8,7.8,0.165,1.1,2.9,4.0,3.5,0.57,5.77,1.72,1.08,3.48,2.2,4.25,2.92,1.242,0.3888888888888889,31.625
215,Dwight Howard,C,7.4,13.3,0.555,0.0,0.1,0.14300000000000002,7.4,13.2,0.5589999999999999,4.9,8.5,0.574,3.7,11.1,14.8,1.5,0.7,1.9,3.0,3.6,19.7,81,2463,20.5,0.5770000000000001,0.008,0.639,11.0,33.8,22.2,7.1,1.0,4.4,15.1,24.2,2.9,3.9,6.8,0.132,-2.0,1.7,-0.3,1.1,0.59,11.42,2.23,3.72,5.93,2.84,5.42,2.19,1.4809999999999999,2.0,30.40740740740741
221,Joe Ingles,SF,4.7,10.0,0.467,2.8,6.5,0.44,1.8,3.5,0.516,0.9,1.2,0.795,0.3,4.5,4.8,5.5,1.3,0.3,2.2,2.5,13.1,82,2578,14.4,0.623,0.6459999999999999,0.11599999999999999,1.1,13.9,7.6,22.9,1.8,0.7,17.4,15.9,4.0,3.6,7.6,0.141,2.1,1.0,3.1,3.3,1.38,2.58,1.96,0.51,3.72,2.62,2.97,1.86,1.308,0.4,31.4390243902439
222,Brandon Ingram,SF,6.5,13.9,0.47,0.7,1.9,0.39,5.8,12.0,0.483,3.5,5.1,0.6809999999999999,1.0,4.7,5.7,4.2,0.8,0.8,2.7,3.0,17.3,59,1975,13.8,0.536,0.138,0.371,3.1,13.8,8.5,17.7,1.1,1.8,14.4,22.2,1.0,1.8,2.8,0.068,-1.6,0.3,-1.3,0.4,2.51,7.82,2.35,1.93,4.49,3.65,4.89,2.96,1.242,0.6428571428571429,33.47457627118644
223,Kyrie Irving,PG,10.0,20.3,0.491,3.1,7.6,0.408,6.9,12.7,0.541,4.3,4.9,0.889,0.6,3.6,4.2,5.7,1.2,0.3,2.6,2.3,27.3,60,1931,25.0,0.61,0.374,0.24,1.9,10.8,6.4,30.7,1.7,0.7,10.4,31.0,6.3,2.7,8.9,0.222,6.9,-0.7,6.2,4.0,2.08,8.53,2.4,1.85,6.85,5.42,6.38,5.47,1.349,0.45614035087719296,32.18333333333333
230,LeBron James,PF,10.2,18.8,0.542,1.8,4.8,0.36700000000000005,8.4,14.0,0.603,4.6,6.3,0.731,1.2,7.3,8.4,8.9,1.4,0.8,4.1,1.6,26.8,82,3026,28.6,0.621,0.257,0.336,3.7,22.3,13.1,44.4,1.9,2.0,16.1,31.6,11.0,3.0,14.0,0.221,7.6,2.0,9.6,8.9,4.29,14.18,4.04,2.19,7.99,6.19,6.35,6.31,1.42,0.46067415730337075,36.90243902439025
242,Tyler Johnson,PG,5.4,12.5,0.435,2.1,5.7,0.36700000000000005,3.3,6.8,0.491,1.9,2.3,0.8220000000000001,0.6,3.8,4.4,2.9,1.1,0.6,1.4,2.6,14.8,72,2052,13.0,0.5489999999999999,0.456,0.18100000000000002,1.9,11.7,6.8,12.4,1.5,1.4,9.5,18.6,1.9,2.3,4.2,0.09699999999999999,-0.1,-0.1,-0.2,0.9,1.39,3.8,2.05,0.75,3.37,2.75,3.44,2.46,1.197,0.48275862068965514,28.5
244,Nikola Jokic,C,7.4,14.9,0.499,1.6,4.1,0.396,5.8,10.8,0.5379999999999999,3.9,4.6,0.85,2.9,9.0,11.8,6.7,1.3,0.9,3.1,3.1,20.4,75,2443,24.4,0.603,0.27699999999999997,0.31,9.0,27.9,18.5,29.6,1.8,2.1,15.5,24.2,7.8,2.9,10.7,0.21100000000000002,4.8,2.3,7.1,5.6,0.79,7.58,1.92,2.82,4.42,4.42,5.27,3.05,1.389,0.4626865671641791,32.57333333333333
248,DeAndre Jordan,C,5.5,8.6,0.645,0.0,0.0,,5.5,8.6,0.645,2.7,4.6,0.58,4.9,12.5,17.4,1.7,0.6,1.1,2.0,3.0,13.8,77,2424,20.2,0.648,0.0,0.54,15.1,37.6,26.5,7.1,0.8,2.4,16.1,15.2,6.0,3.4,9.4,0.18600000000000003,0.5,1.6,2.1,2.5,1.4,9.68,1.77,3.76,3.97,2.84,3.19,2.05,1.619,1.1764705882352942,31.48051948051948
260,Kyle Kuzma,PF,7.0,15.6,0.45,2.4,6.5,0.366,4.6,9.1,0.511,2.2,3.1,0.7070000000000001,1.3,5.9,7.2,2.1,0.7,0.5,2.1,2.4,18.6,77,2401,14.2,0.5489999999999999,0.418,0.2,3.9,17.4,10.7,9.1,1.0,1.1,11.0,22.5,1.5,2.3,3.8,0.077,-0.3,-1.0,-1.3,0.4,2.38,6.85,2.35,1.95,2.71,4.68,3.38,4.58,1.178,1.0,31.181818181818183
269,Courtney Lee,SG,5.3,11.8,0.45399999999999996,1.8,4.3,0.406,3.6,7.4,0.48200000000000004,1.8,1.9,0.919,0.5,3.0,3.5,2.8,1.2,0.3,1.3,1.7,14.2,76,2310,13.0,0.564,0.368,0.16399999999999998,1.4,9.3,5.4,11.3,1.7,0.6,9.4,16.9,2.7,1.2,3.9,0.08199999999999999,0.8,-0.7,0.0,1.2,1.7,3.64,2.48,0.7,4.1,2.91,3.57,1.84,1.218,0.46428571428571436,30.394736842105264
277,Damian Lillard,PG,8.4,19.1,0.439,3.1,8.5,0.361,5.3,10.6,0.501,6.6,7.3,0.9159999999999999,0.8,3.5,4.4,6.5,1.0,0.4,2.8,1.6,26.5,73,2670,25.2,0.594,0.445,0.38,2.6,10.6,6.6,30.9,1.4,0.8,11.1,30.6,9.9,2.7,12.6,0.22699999999999998,7.7,-1.0,6.7,5.9,2.07,7.48,3.64,1.92,6.64,5.52,8.36,6.18,1.396,0.43076923076923074,36.57534246575342
284,Kyle Lowry,PG,5.8,13.5,0.42700000000000005,3.4,8.5,0.39899999999999997,2.4,5.0,0.474,3.2,3.7,0.8540000000000001,0.9,5.3,6.2,7.7,1.2,0.3,2.6,2.8,18.2,78,2510,19.5,0.598,0.631,0.276,3.0,16.1,9.7,30.9,1.7,0.6,14.7,21.7,7.0,3.1,10.2,0.19399999999999998,5.4,0.5,5.9,5.0,2.92,3.69,2.06,1.2,4.31,4.09,4.77,3.06,1.34,0.33766233766233766,32.17948717948718
293,Lauri Markkanen,PF,6.7,15.4,0.434,2.6,7.1,0.36200000000000004,4.1,8.2,0.49700000000000005,2.5,3.0,0.843,1.4,7.6,9.1,1.4,0.7,0.7,1.5,1.8,18.4,68,2020,15.6,0.552,0.465,0.193,4.0,23.7,13.5,6.4,0.9,1.8,8.2,21.9,1.7,1.6,3.3,0.079,-0.6,-1.3,-1.9,0.1,1.5,5.23,1.82,1.55,4.12,3.23,4.52,2.68,1.163,1.0714285714285714,29.705882352941178
297,Wesley Matthews,SF,4.8,11.8,0.406,2.6,6.8,0.381,2.2,5.0,0.441,1.4,1.7,0.8220000000000001,0.5,2.9,3.3,2.9,1.3,0.3,1.4,2.4,13.5,63,2131,11.4,0.541,0.5770000000000001,0.145,1.4,9.2,5.2,12.3,1.8,0.7,10.1,17.6,1.0,1.6,2.6,0.059000000000000004,0.2,-0.2,0.1,1.1,1.29,2.86,1.67,1.05,3.44,2.63,4.22,2.4,1.151,0.48275862068965514,33.82539682539682
301,CJ McCollum,SG,8.2,18.5,0.44299999999999995,2.3,5.9,0.397,5.9,12.7,0.465,2.6,3.1,0.836,0.7,3.3,4.0,3.3,0.9,0.4,1.9,2.1,21.3,81,2923,17.0,0.536,0.316,0.166,2.0,9.9,6.0,15.8,1.3,1.0,8.6,26.5,3.7,2.9,6.6,0.10800000000000001,1.4,-1.0,0.4,1.8,1.99,6.78,2.84,1.69,5.28,4.81,5.75,5.79,1.181,0.5757575757575758,36.08641975308642
314,Khris Middleton,SF,7.2,15.4,0.466,1.8,4.9,0.359,5.4,10.4,0.517,3.9,4.4,0.884,0.5,4.6,5.2,4.0,1.4,0.3,2.3,3.3,19.9,82,2982,17.4,0.5770000000000001,0.32,0.285,1.8,15.0,8.4,17.7,2.0,0.6,11.8,24.6,4.6,2.3,6.9,0.111,1.6,-1.2,0.4,1.8,2.29,5.09,3.43,1.22,5.6,4.13,5.07,4.97,1.2919999999999998,0.575,36.36585365853659
319,Paul Millsap,PF,6.4,13.7,0.46399999999999997,1.2,3.6,0.345,5.1,10.1,0.506,3.5,5.1,0.696,2.0,5.7,7.7,3.3,1.2,1.4,2.3,3.1,17.5,38,1143,17.0,0.5489999999999999,0.26,0.37,6.4,17.6,12.1,13.6,1.7,3.2,12.6,22.0,1.4,1.1,2.5,0.106,0.0,0.7,0.7,0.8,0.76,6.88,1.92,1.72,4.68,3.12,4.04,2.16,1.232,0.6969696969696969,30.07894736842105
321,Donovan Mitchell,SG,8.1,18.6,0.43700000000000006,2.6,7.5,0.34,5.6,11.1,0.502,3.3,4.1,0.805,0.7,3.3,4.0,4.0,1.6,0.4,2.9,2.9,22.1,79,2638,16.7,0.541,0.40399999999999997,0.218,2.3,10.4,6.4,19.4,2.2,0.9,12.6,29.1,1.4,3.8,5.2,0.095,1.3,-0.2,1.1,2.1,2.21,7.94,2.88,1.67,4.3,3.97,5.27,6.11,1.19,0.725,33.392405063291136
327,E'Twaun Moore,SG,5.9,11.6,0.508,1.8,4.2,0.425,4.1,7.4,0.556,0.7,0.9,0.706,0.8,2.5,3.3,2.6,1.1,0.2,1.4,2.5,14.2,82,2586,12.1,0.593,0.36200000000000004,0.08199999999999999,2.5,7.3,5.0,10.1,1.5,0.4,10.6,16.1,2.8,1.6,4.4,0.081,0.6,-0.8,-0.2,1.2,2.2,6.06,2.14,1.2,3.55,3.39,3.0,2.58,1.216,0.5384615384615384,31.536585365853657
