,Player,Pos,FG-per-36,FGA-per-36,FG%-per-36,3P-per-36,3PA-per-36,3P%-per-36,2P-per-36,2PA-per-36,2P%-per-36,FT-per-36,FTA-per-36,FT%-per-36,ORB-per-36,DRB-per-36,TRB-per-36,AST-per-36,STL-per-36,BLK-per-36,TOV-per-36,PF-per-36,PTS-per-36,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Team,Season,Season Type,Games,Fast Break Pts,Points In Paint,Points off TO,2nd Chance PTS,Q1 Points Per Game,Q2 Points Per Game,Q3 Points Per Game,Q4 Points Per Game,Points scored per shot
260,Kosta Koufos,C,5.7,10.1,0.5710000000000001,0.0,0.0,,5.7,10.1,0.5710000000000001,0.9,1.9,0.446,3.9,8.4,12.2,2.3,1.2,0.8,1.3,3.8,12.3,17.5,0.5660000000000001,0.0,0.19,11.7,27.6,19.3,9.7,1.7,2.2,10.4,15.2,2.3,1.5,3.9,0.134,-0.8,1.4,0.5,0.9,Kings,2017-2018,REG,64,0.16,5.91,0.66,1.41,1.47,2.27,1.45,1.38,1.2209999999999999
261,Kyle Kuzma,PF,7.0,15.6,0.45,2.4,6.5,0.366,4.6,9.1,0.511,2.2,3.1,0.7070000000000001,1.3,5.9,7.2,2.1,0.7,0.5,2.1,2.4,18.6,14.2,0.5489999999999999,0.418,0.2,3.9,17.4,10.7,9.1,1.0,1.1,11.0,22.5,1.5,2.3,3.8,0.077,-0.3,-1.0,-1.3,0.4,Lakers,2017-2018,REG,66,2.38,6.85,2.35,1.95,2.71,4.68,3.38,4.58,1.178
262,Mindaugas Kuzminskas,SF,0.0,36.0,0.0,0.0,0.0,,0.0,36.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,0.0,0.0,0.0,-1.065,-36.6,-12.7,-49.3,0.0,Knicks,2017-2018,REG,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,Skal Labissiere,PF,6.0,13.3,0.44799999999999995,0.5,1.5,0.353,5.4,11.8,0.45899999999999996,2.8,3.4,0.805,2.9,5.5,8.4,2.1,0.7,1.4,2.1,3.8,15.2,14.3,0.513,0.111,0.258,8.7,18.1,13.2,9.1,1.0,3.7,12.5,21.1,0.4,1.0,1.4,0.054000000000000006,-2.7,0.1,-2.6,-0.2,Kings,2017-2018,REG,51,0.39,5.1,1.02,1.69,2.49,1.82,1.92,2.25,1.18
264,Jeremy Lamb,SG,7.0,15.2,0.457,1.7,4.6,0.37,5.2,10.6,0.495,3.3,3.8,0.861,0.9,5.0,5.9,3.4,1.1,0.6,1.7,2.5,18.9,17.0,0.5589999999999999,0.305,0.25,2.7,15.4,8.9,15.4,1.5,1.4,9.1,22.4,3.0,1.9,4.9,0.12,1.2,-0.2,0.9,1.5,Hornets,2017-2018,REG,68,1.24,5.12,1.82,1.51,2.31,3.88,2.38,4.56,1.242
265,Shane Larkin,PG,3.9,10.2,0.384,1.4,4.0,0.36,2.5,6.2,0.39799999999999996,1.5,1.7,0.865,0.7,3.6,4.3,4.6,1.3,0.1,1.5,2.7,10.7,10.4,0.491,0.39299999999999996,0.16899999999999998,2.1,10.7,6.5,18.5,1.9,0.3,12.3,15.5,0.3,1.1,1.4,0.087,-2.3,0.2,-2.1,0.0,Celtics,2017-2018,REG,43,0.49,1.07,0.98,0.16,0.33,1.26,0.4,1.65,1.091
266,Joffrey Lauvergne,C,6.6,12.8,0.516,0.0,0.3,0.0,6.6,12.5,0.53,2.0,3.2,0.638,4.2,7.3,11.5,2.8,0.6,0.2,2.2,3.0,15.2,16.5,0.536,0.026000000000000002,0.247,13.0,22.6,17.8,12.2,0.9,0.5,13.5,20.4,0.6,0.7,1.3,0.12,-1.4,-0.1,-1.6,0.1,Spurs,2017-2018,REG,47,0.17,3.74,0.66,1.09,0.74,0.85,1.36,1.55,1.198
267,Zach LaVine,SG,7.5,19.5,0.38299999999999995,2.3,6.8,0.341,5.2,12.7,0.405,4.8,5.9,0.813,0.5,4.7,5.2,4.0,1.3,0.2,2.4,3.0,22.0,14.6,0.499,0.34600000000000003,0.301,1.4,14.4,7.7,18.6,1.8,0.5,9.7,29.5,-0.1,0.5,0.3,0.025,-0.6,-2.0,-2.7,-0.1,Bulls,2017-2018,REG,24,2.5,6.33,2.5,1.5,3.08,4.88,4.63,4.13,1.13
268,Jake Layman,SF,3.2,10.6,0.298,0.9,4.5,0.2,2.3,6.1,0.37,0.5,0.7,0.667,0.9,2.7,3.6,2.5,1.4,0.9,1.1,2.9,7.7,4.9,0.35200000000000004,0.426,0.064,2.8,8.1,5.5,9.4,1.9,2.0,9.4,14.6,-0.3,0.2,-0.1,-0.021,-5.3,0.4,-5.0,-0.1,Trail Blazers,2017-2018,REG,29,0.17,0.41,0.31,0.24,0.0,0.07,0.14,0.83,0.682
269,Courtney Lee,SG,5.3,11.8,0.45399999999999996,1.8,4.3,0.406,3.6,7.4,0.48200000000000004,1.8,1.9,0.919,0.5,3.0,3.5,2.8,1.2,0.3,1.3,1.7,14.2,13.0,0.564,0.368,0.16399999999999998,1.4,9.3,5.4,11.3,1.7,0.6,9.4,16.9,2.7,1.2,3.9,0.08199999999999999,0.8,-0.7,0.0,1.2,Knicks,2017-2018,REG,67,1.7,3.64,2.48,0.7,4.1,2.91,3.57,1.84,1.218
270,Damion Lee,SG,5.5,13.5,0.408,1.3,5.3,0.25,4.2,8.2,0.511,2.0,2.6,0.759,1.0,5.3,6.3,2.6,1.7,0.1,1.2,2.2,14.3,12.0,0.489,0.395,0.191,3.0,16.6,9.8,11.2,2.3,0.2,7.8,19.3,0.0,0.4,0.4,0.046,-1.7,-0.4,-2.1,0.0,Hawks,2017-2018,REG,2,0.5,3.0,3.0,2.0,0.0,7.0,1.0,5.5,1.6880000000000002
271,Alex Len,C,5.5,9.8,0.5660000000000001,0.0,0.1,0.33299999999999996,5.5,9.7,0.568,4.1,6.0,0.684,4.5,8.9,13.4,2.1,0.7,1.6,2.0,4.1,15.1,19.4,0.612,0.008,0.611,13.2,26.7,19.8,9.1,0.9,3.5,14.0,17.0,3.2,1.3,4.5,0.154,-0.3,1.1,0.8,1.0,Suns,2017-2018,REG,60,0.25,5.33,0.97,2.33,1.7,1.6,1.98,2.55,1.561
