,Player,Pos,FG-per-36,FGA-per-36,FG%-per-36,3P-per-36,3PA-per-36,3P%-per-36,2P-per-36,2PA-per-36,2P%-per-36,FT-per-36,FTA-per-36,FT%-per-36,ORB-per-36,DRB-per-36,TRB-per-36,AST-per-36,STL-per-36,BLK-per-36,TOV-per-36,PF-per-36,PTS-per-36,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Team,Season,Season Type,Games,Fast Break Pts,Points In Paint,Points off TO,2nd Chance PTS,Q1 Points Per Game,Q2 Points Per Game,Q3 Points Per Game,Q4 Points Per Game,Points scored per shot
300,Patrick McCaw,SG,3.4,8.4,0.409,0.7,3.0,0.23800000000000002,2.7,5.4,0.503,1.0,1.3,0.765,0.6,2.5,3.1,3.0,1.6,0.4,1.5,2.5,8.6,7.4,0.47700000000000004,0.35600000000000004,0.151,2.0,7.2,4.8,10.6,2.2,0.8,14.6,12.8,-0.3,0.8,0.6,0.028999999999999998,-2.9,-0.5,-3.4,-0.3,Warriors,2017-2018,REG,50,0.64,2.2,0.98,0.46,0.62,0.94,0.78,1.42,1.081
301,CJ McCollum,SG,8.2,18.5,0.44299999999999995,2.3,5.9,0.397,5.9,12.7,0.465,2.6,3.1,0.836,0.7,3.3,4.0,3.3,0.9,0.4,1.9,2.1,21.3,17.0,0.536,0.316,0.166,2.0,9.9,6.0,15.8,1.3,1.0,8.6,26.5,3.7,2.9,6.6,0.10800000000000001,1.4,-1.0,0.4,1.8,Trail Blazers,2017-2018,REG,67,1.99,6.78,2.84,1.69,5.28,4.81,5.75,5.79,1.181
302,T.J. McConnell,PG,4.4,8.9,0.499,0.6,1.3,0.435,3.9,7.6,0.51,0.7,0.8,0.795,0.8,4.0,4.8,6.4,1.9,0.3,2.4,2.6,10.1,12.5,0.545,0.147,0.09300000000000001,2.4,11.5,7.1,24.5,2.6,0.6,20.4,13.8,1.3,2.5,3.8,0.10800000000000001,-1.8,1.1,-0.7,0.5,76ers,2017-2018,REG,61,0.7,3.74,0.87,0.62,2.07,1.31,1.92,1.52,1.14
303,Erik McCree,SF,0.0,9.0,0.0,0.0,4.5,0.0,0.0,4.5,0.0,0.0,0.0,,0.0,4.5,4.5,0.0,4.5,0.0,4.5,0.0,0.0,-8.9,0.0,0.5,0.0,0.0,14.0,7.1,0.0,6.3,0.0,33.3,16.9,-0.1,0.0,-0.1,-0.33399999999999996,-17.2,2.5,-14.7,0.0,Jazz,2017-2018,REG,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,Chris McCullough,PF,7.2,16.8,0.429,0.4,3.2,0.125,6.8,13.6,0.5,3.6,5.6,0.643,2.8,7.2,10.0,1.6,0.0,2.0,0.8,3.2,18.4,15.8,0.478,0.19,0.33299999999999996,8.8,22.6,15.7,7.1,0.0,4.9,4.0,24.6,0.1,0.1,0.2,0.081,-3.8,-1.9,-5.7,-0.1,Wizards,2017-2018,REG,19,0.37,1.37,0.32,0.32,0.0,0.11,0.21,2.11,1.095
305,Doug McDermott,SF,4.8,10.3,0.467,1.9,4.4,0.426,3.0,5.9,0.49700000000000005,1.3,1.6,0.79,0.8,3.3,4.1,1.6,0.4,0.3,1.1,2.5,12.8,10.4,0.579,0.425,0.159,2.5,10.2,6.3,6.5,0.5,0.8,9.3,15.0,1.7,0.6,2.3,0.063,-0.7,-1.7,-2.4,-0.2,"Knicks, Mavericks",2017-2018,REG,68,0.66,2.79,1.1,1.13,1.38,2.41,1.43,2.4,1.246
306,JaVale McGee,C,8.0,12.8,0.621,0.0,0.4,0.0,8.0,12.5,0.638,2.2,3.0,0.731,3.5,6.4,9.9,1.9,1.2,3.3,1.6,5.3,18.1,22.3,0.6409999999999999,0.027000000000000003,0.237,11.5,18.7,15.4,8.0,1.6,7.3,10.0,19.2,1.7,1.1,2.7,0.212,0.4,2.1,2.6,0.7,Warriors,2017-2018,REG,50,0.74,3.56,0.72,0.54,2.1,0.14,1.54,0.86,1.506
307,Rodney McGruder,SG,4.3,8.8,0.493,1.8,4.2,0.429,2.5,4.6,0.5529999999999999,0.5,1.0,0.5,1.3,2.5,3.9,2.0,1.0,0.4,0.5,2.5,11.0,12.0,0.595,0.479,0.11,4.1,7.9,6.0,8.4,1.3,0.9,5.0,12.1,0.5,0.3,0.8,0.125,0.1,-0.7,-0.6,0.1,Heat,2017-2018,REG,8,0.75,2.75,1.5,1.25,1.38,0.63,0.25,3.88,1.2890000000000001
308,Trey McKinney-Jones,SG,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.001,-5.8,-0.1,-5.9,0.0,Pacers,2017-2018,REG,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,Alfonzo McKinnie,SF,5.4,10.2,0.5329999999999999,2.0,6.1,0.33299999999999996,3.4,4.1,0.833,1.4,2.0,0.667,0.7,4.1,4.8,0.7,0.7,0.7,2.0,5.4,14.3,10.1,0.643,0.6,0.2,2.2,12.4,7.4,2.7,0.9,1.5,15.5,16.0,0.0,0.1,0.1,0.084,-1.3,-1.8,-3.1,0.0,Raptors,2017-2018,REG,13,0.0,0.46,0.0,0.0,0.0,0.0,0.0,1.46,1.462
310,Ben McLemore,SG,5.2,12.3,0.42100000000000004,1.8,5.2,0.34600000000000003,3.4,7.1,0.47700000000000004,1.7,2.1,0.828,1.1,3.5,4.6,1.7,1.3,0.5,2.0,4.6,13.9,9.7,0.526,0.426,0.172,3.5,11.4,7.4,7.5,1.8,1.3,13.2,19.0,-0.2,0.7,0.5,0.023,-2.1,-1.4,-3.6,-0.4,Grizzlies,2017-2018,REG,45,1.11,2.53,1.38,0.93,2.09,1.76,1.2,1.98,1.149
311,Josh McRoberts,PF,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,-12.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,-0.19,-9.8,-2.4,-12.2,0.0,Mavericks,2017-2018,REG,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,Jodie Meeks,SG,5.1,12.6,0.39899999999999997,2.3,6.8,0.34299999999999997,2.7,5.9,0.46399999999999997,3.2,3.8,0.863,0.5,3.6,4.1,2.3,0.9,0.1,1.2,1.8,15.7,12.4,0.5479999999999999,0.534,0.298,1.5,11.2,6.4,9.1,1.3,0.3,7.7,19.0,1.3,0.8,2.0,0.087,-0.4,-2.5,-2.8,-0.2,Wizards,2017-2018,REG,66,0.89,1.67,1.27,0.59,0.53,2.2,0.68,2.98,1.227
313,Salah Mejri,C,4.3,6.8,0.642,0.0,0.1,0.0,4.3,6.6,0.657,1.9,3.3,0.5760000000000001,4.2,8.0,12.1,1.7,1.1,3.3,1.9,6.0,10.6,17.8,0.644,0.022000000000000002,0.48200000000000004,12.5,25.4,18.7,7.2,1.5,8.2,19.0,12.8,1.3,1.3,2.7,0.175,-2.2,5.3,3.1,0.9,Mavericks,2017-2018,REG,56,0.36,2.89,0.52,0.91,1.05,1.05,0.82,0.59,1.5759999999999998
314,Jordan Mickey,PF,4.9,10.4,0.47600000000000003,0.3,2.0,0.125,4.7,8.4,0.561,1.6,2.4,0.684,2.3,8.1,10.3,1.1,0.8,1.3,2.3,4.6,11.8,10.6,0.515,0.195,0.23199999999999998,7.1,25.3,16.2,4.8,1.1,3.0,16.6,17.1,-0.1,0.4,0.3,0.054000000000000006,-5.5,0.4,-5.1,-0.2,Heat,2017-2018,REG,20,0.2,3.1,0.45,0.85,0.5,1.65,0.7,1.15,1.127
315,Khris Middleton,SF,7.2,15.4,0.466,1.8,4.9,0.359,5.4,10.4,0.517,3.9,4.4,0.884,0.5,4.6,5.2,4.0,1.4,0.3,2.3,3.3,19.9,17.4,0.5770000000000001,0.32,0.285,1.8,15.0,8.4,17.7,2.0,0.6,11.8,24.6,4.6,2.3,6.9,0.111,1.6,-1.2,0.4,1.8,Bucks,2017-2018,REG,68,2.29,5.09,3.43,1.22,5.6,4.13,5.07,4.97,1.2919999999999998
316,Darius Miller,SF,4.0,9.0,0.444,2.7,6.6,0.41100000000000003,1.3,2.4,0.535,1.1,1.2,0.866,0.3,2.7,3.0,2.1,0.5,0.3,1.1,3.0,11.8,9.3,0.617,0.735,0.138,1.0,7.9,4.6,7.5,0.7,0.7,10.1,12.8,2.1,0.9,3.0,0.075,0.5,-1.6,-1.0,0.5,Pelicans,2017-2018,REG,66,0.89,0.58,0.91,0.18,1.35,2.86,1.33,2.47,1.344
317,Malcolm Miller,SF,3.7,8.0,0.46399999999999997,2.3,6.0,0.381,1.4,2.0,0.7140000000000001,1.1,1.1,1.0,1.1,3.1,4.3,0.9,0.3,0.6,1.4,2.9,10.9,8.9,0.638,0.75,0.14300000000000002,3.6,9.6,6.7,3.2,0.4,1.3,14.4,12.1,0.1,0.1,0.2,0.087,-0.5,-1.5,-2.0,0.0,Raptors,2017-2018,REG,13,0.0,0.77,0.23,0.23,0.54,1.38,0.0,0.77,1.4
318,Patty Mills,PG,4.8,11.7,0.41100000000000003,2.6,7.1,0.37200000000000005,2.2,4.6,0.47,1.8,2.0,0.89,0.4,2.2,2.6,3.9,0.9,0.2,1.8,2.2,14.0,11.8,0.5579999999999999,0.607,0.17300000000000001,1.4,6.8,4.1,16.0,1.3,0.4,12.6,17.8,2.0,2.1,4.1,0.09300000000000001,0.9,-1.3,-0.4,0.9,Spurs,2017-2018,REG,69,1.13,1.45,1.33,0.45,2.26,2.54,2.39,2.38,1.202
319,Paul Millsap,PF,6.4,13.7,0.46399999999999997,1.2,3.6,0.345,5.1,10.1,0.506,3.5,5.1,0.696,2.0,5.7,7.7,3.3,1.2,1.4,2.3,3.1,17.5,17.0,0.5489999999999999,0.26,0.37,6.4,17.6,12.1,13.6,1.7,3.2,12.6,22.0,1.4,1.1,2.5,0.106,0.0,0.7,0.7,0.8,Nuggets,2017-2018,REG,25,0.76,6.88,1.92,1.72,4.68,3.12,4.04,2.16,1.232
320,Nikola Mirotic,PF,7.4,16.5,0.447,3.3,8.6,0.377,4.1,7.9,0.525,2.7,3.3,0.818,1.4,8.3,9.8,1.9,1.1,0.9,1.5,2.6,20.7,18.7,0.5770000000000001,0.523,0.2,4.3,24.9,14.6,8.6,1.4,2.2,7.7,23.4,2.2,1.8,4.0,0.128,1.4,-0.7,0.6,1.0,"Bulls, Pelicans",2017-2018,REG,42,1.9,4.43,1.9,1.9,2.81,4.29,3.48,4.71,1.268
321,Donovan Mitchell,SG,8.1,18.6,0.43700000000000006,2.6,7.5,0.34,5.6,11.1,0.502,3.3,4.1,0.805,0.7,3.3,4.0,4.0,1.6,0.4,2.9,2.9,22.1,16.7,0.541,0.40399999999999997,0.218,2.3,10.4,6.4,19.4,2.2,0.9,12.6,29.1,1.4,3.8,5.2,0.095,1.3,-0.2,1.1,2.1,Jazz,2017-2018,REG,66,2.21,7.94,2.88,1.67,4.3,3.97,5.27,6.11,1.19
322,Naz Mitrou-Long,SG,36.0,36.0,1.0,36.0,36.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,133.8,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.1,0.0,0.1,2.7119999999999997,68.6,-14.2,54.4,0.0,Jazz,2017-2018,REG,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
323,Malik Monk,SG,6.4,17.9,0.36,3.5,10.2,0.342,3.0,7.7,0.385,1.3,1.6,0.8420000000000001,0.3,2.4,2.8,3.8,0.8,0.4,2.1,2.5,17.7,10.3,0.47700000000000004,0.5720000000000001,0.08900000000000001,1.0,7.5,4.2,16.9,1.1,0.9,9.8,24.9,-0.5,0.5,0.0,0.001,-1.0,-3.4,-4.4,-0.5,Hornets,2017-2018,REG,50,0.52,1.0,0.72,0.46,0.62,1.44,0.66,2.06,0.885
324,Greg Monroe,C,7.5,13.4,0.565,0.0,0.0,,7.5,13.4,0.565,3.0,4.1,0.7390000000000001,3.8,8.3,12.1,3.9,1.5,0.8,3.3,3.3,18.1,21.2,0.598,0.0,0.308,11.4,25.2,18.3,18.7,2.1,1.8,17.7,22.4,1.8,1.6,3.4,0.155,0.1,2.3,2.4,1.2,"Bucks, Suns, Celtics",2017-2018,REG,37,0.3,7.89,1.46,2.19,2.38,2.86,2.62,1.84,1.3880000000000001
325,Luis Montero,SG,0.0,4.5,0.0,0.0,0.0,,0.0,4.5,0.0,0.0,0.0,,0.0,9.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,-15.5,0.0,0.0,0.0,0.0,28.2,13.8,0.0,0.0,0.0,66.7,16.6,-0.1,0.0,-0.1,-0.445,-23.7,-2.1,-25.9,0.0,Pistons,2017-2018,REG,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,Ben Moore,PF,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,4.0,4.0,4.0,0.0,0.0,0.0,16.0,0.0,-2.3,,,,0.0,12.5,6.3,13.1,0.0,0.0,,0.0,0.0,0.0,0.0,0.07200000000000001,-5.3,0.3,-5.0,0.0,Pacers,2017-2018,REG,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327,E'Twaun Moore,SG,5.9,11.6,0.508,1.8,4.2,0.425,4.1,7.4,0.556,0.7,0.9,0.706,0.8,2.5,3.3,2.6,1.1,0.2,1.4,2.5,14.2,12.1,0.593,0.36200000000000004,0.08199999999999999,2.5,7.3,5.0,10.1,1.5,0.4,10.6,16.1,2.8,1.6,4.4,0.081,0.6,-0.8,-0.2,1.2,Pelicans,2017-2018,REG,66,2.2,6.06,2.14,1.2,3.55,3.39,3.0,2.58,1.216
328,Eric Moreland,PF,3.0,5.5,0.541,0.0,0.0,,3.0,5.5,0.541,0.5,1.3,0.379,3.6,8.8,12.4,3.5,1.4,2.3,1.9,5.2,6.4,13.9,0.531,0.0,0.23800000000000002,10.9,27.6,19.1,13.3,1.9,5.6,23.8,9.7,0.7,1.6,2.3,0.135,-3.1,5.8,2.6,0.9,Pistons,2017-2018,REG,56,0.09,1.64,0.11,0.46,0.36,0.64,0.21,0.63,1.157
329,Jaylen Morris,SG,4.8,11.8,0.406,0.7,3.7,0.2,4.0,8.1,0.5,0.0,0.0,,0.7,5.1,5.9,2.6,0.7,0.4,2.2,0.7,10.3,6.5,0.43799999999999994,0.313,0.0,2.3,15.9,9.1,10.8,1.0,0.9,15.8,16.9,-0.2,0.1,-0.1,-0.053,-6.1,-1.0,-7.1,-0.1,Hawks,2017-2018,REG,6,0.67,3.0,0.5,0.67,0.67,1.17,1.83,1.0,0.903
330,Marcus Morris,PF,6.5,15.2,0.429,2.1,5.8,0.368,4.4,9.4,0.467,3.1,3.8,0.805,1.1,6.1,7.2,1.8,0.9,0.3,1.6,2.5,18.3,14.5,0.541,0.38299999999999995,0.252,3.3,18.4,10.9,8.1,1.2,0.7,8.7,23.0,1.1,2.2,3.2,0.10800000000000001,-1.0,-0.6,-1.7,0.1,Celtics,2017-2018,REG,44,0.89,3.23,1.84,1.68,2.86,3.68,3.16,2.93,1.1640000000000001
331,Markieff Morris,PF,6.0,12.6,0.48,1.4,3.8,0.36700000000000005,4.6,8.8,0.529,1.9,2.3,0.82,1.4,6.1,7.5,2.6,1.0,0.7,2.3,4.0,15.4,13.2,0.5660000000000001,0.301,0.18600000000000003,4.3,19.2,11.8,11.0,1.4,1.7,14.6,19.5,1.2,2.1,3.3,0.08,-1.0,0.5,-0.5,0.7,Wizards,2017-2018,REG,60,0.77,4.33,1.08,1.33,4.25,1.95,3.5,1.7,1.244
332,Monte Morris,PG,5.8,8.6,0.667,0.0,1.4,0.0,5.8,7.2,0.8,2.9,2.9,1.0,0.0,2.9,2.9,10.1,4.3,0.0,1.4,1.4,14.4,27.1,0.727,0.16699999999999998,0.33299999999999996,0.0,9.0,4.5,41.2,5.9,0.0,12.7,13.7,0.1,0.0,0.2,0.312,3.6,-1.6,2.0,0.0,Nuggets,2017-2018,REG,3,0.67,2.67,0.67,0.0,0.0,0.0,0.67,2.67,1.6669999999999998
333,Johnathan Motley,PF,8.2,15.3,0.5329999999999999,0.2,1.2,0.16699999999999998,8.0,14.1,0.565,3.1,5.7,0.536,2.9,7.2,10.0,1.4,0.6,0.4,1.8,3.7,19.6,17.2,0.55,0.08,0.373,8.5,22.9,15.5,7.1,0.9,1.0,9.3,24.9,0.1,0.2,0.3,0.084,-2.8,-2.1,-4.9,-0.1,Mavericks,2017-2018,REG,4,0.5,1.5,0.0,0.5,0.0,0.0,0.0,2.5,1.6669999999999998
334,Timofey Mozgov,C,5.2,9.3,0.5589999999999999,0.4,1.8,0.222,4.8,7.5,0.64,2.3,3.0,0.767,3.2,6.6,9.8,1.1,0.5,1.3,3.3,3.9,13.1,12.3,0.617,0.19399999999999998,0.32299999999999995,9.4,19.7,14.5,4.8,0.7,2.7,23.7,16.8,0.1,0.3,0.4,0.055,-3.8,-0.3,-4.1,-0.2,Nets,2017-2018,REG,28,0.18,2.86,0.36,0.86,0.5,1.64,1.14,0.75,1.329
335,Emmanuel Mudiay,PG,5.9,15.2,0.38799999999999996,1.4,4.3,0.318,4.5,10.9,0.415,2.8,3.7,0.76,0.8,3.6,4.4,6.0,1.2,0.3,3.3,2.3,16.0,11.5,0.474,0.281,0.245,2.3,11.3,6.8,24.5,1.6,0.8,16.2,24.3,-0.7,0.7,0.0,-0.002,-2.6,-2.1,-4.7,-0.9,"Nuggets, Knicks",2017-2018,REG,55,1.22,3.64,1.18,0.62,1.82,2.71,1.55,2.93,1.0759999999999998
336,Shabazz Muhammad,SF-SG,7.2,16.2,0.447,0.6,2.3,0.259,6.6,13.9,0.478,3.4,4.3,0.78,2.0,4.6,6.5,1.2,0.8,0.3,0.5,2.6,18.4,15.4,0.51,0.14400000000000002,0.266,6.3,14.8,10.6,5.7,1.1,0.6,2.8,23.0,0.5,0.2,0.7,0.081,-1.8,-4.1,-5.9,-0.4,"Timberwolves, Bucks",2017-2018,REG,35,0.77,2.4,0.77,0.66,0.06,2.0,0.31,1.4,1.015
337,Xavier Munford,SG,1.7,10.3,0.16699999999999998,0.0,3.4,0.0,1.7,6.9,0.25,1.7,3.4,0.5,1.7,0.0,1.7,6.9,1.7,0.0,3.4,6.9,5.1,-2.1,0.218,0.33299999999999996,0.33299999999999996,5.6,0.0,2.8,24.6,2.4,0.0,22.5,19.1,-0.1,0.0,-0.1,-0.19699999999999998,-9.4,-4.4,-13.7,-0.1,Bucks,2017-2018,REG,6,0.0,0.0,0.17,0.0,0.0,0.33,0.0,0.17,0.5
338,Dejounte Murray,PG,5.6,12.6,0.44299999999999995,0.2,0.7,0.265,5.4,11.9,0.45399999999999996,2.2,3.1,0.7090000000000001,2.3,7.2,9.5,4.8,2.0,0.6,2.8,3.1,13.5,15.1,0.485,0.055999999999999994,0.243,7.0,22.4,14.6,20.2,2.8,1.5,16.6,20.7,-0.2,3.4,3.2,0.087,-2.2,3.4,1.2,1.4,Spurs,2017-2018,REG,68,1.43,5.09,1.51,1.07,1.35,1.59,2.38,2.5,1.07
339,Jamal Murray,PG,6.7,14.9,0.451,2.3,6.1,0.37799999999999995,4.4,8.8,0.502,3.2,3.6,0.905,1.2,3.0,4.2,3.8,1.1,0.4,2.4,2.4,19.0,16.1,0.5760000000000001,0.41100000000000003,0.23800000000000002,3.6,9.4,6.5,16.4,1.5,0.9,12.8,22.8,4.3,1.2,5.5,0.10300000000000001,1.8,-2.0,-0.2,1.2,Nuggets,2017-2018,REG,68,2.15,5.76,2.54,1.99,4.59,2.82,5.13,3.79,1.2930000000000001
340,Mike Muscala,C,4.9,10.6,0.45799999999999996,2.1,5.7,0.371,2.8,4.9,0.5589999999999999,1.9,2.1,0.919,1.9,5.9,7.8,1.7,1.1,0.9,1.4,2.7,13.8,14.4,0.597,0.535,0.19899999999999998,5.9,18.3,12.1,7.3,1.4,2.2,11.0,15.7,1.5,0.9,2.4,0.11,0.0,0.2,0.2,0.6,Hawks,2017-2018,REG,40,0.3,2.45,1.15,1.73,0.88,1.88,1.35,2.73,1.3319999999999999
341,Abdel Nader,SF,3.4,10.3,0.336,1.6,4.5,0.354,1.9,5.8,0.321,1.6,2.7,0.59,0.9,4.0,4.9,1.8,1.0,0.7,2.3,3.1,10.1,5.1,0.439,0.436,0.262,2.8,12.0,7.4,7.1,1.4,1.6,17.0,17.1,-0.9,0.8,-0.1,-0.013999999999999999,-5.9,0.3,-5.6,-0.5,Celtics,2017-2018,REG,34,0.29,0.94,0.5,0.82,0.24,0.94,0.18,1.38,1.033
342,Shabazz Napier,PG,5.2,12.5,0.42,1.9,5.1,0.376,3.3,7.3,0.45,2.7,3.2,0.841,0.6,3.4,4.0,3.5,1.9,0.3,2.1,2.0,15.1,14.2,0.544,0.41100000000000003,0.26,1.9,10.1,6.0,14.6,2.6,0.7,13.2,19.5,1.2,2.0,3.2,0.10099999999999999,-0.2,0.3,0.2,0.8,Trail Blazers,2017-2018,REG,61,1.0,2.0,1.43,0.82,0.97,3.62,1.38,3.23,1.255
343,Jameer Nelson,PG,3.4,8.7,0.389,1.5,4.4,0.331,1.9,4.3,0.45,0.6,0.7,0.8,0.5,3.2,3.7,6.4,1.0,0.1,2.4,2.9,8.8,8.1,0.489,0.508,0.08199999999999999,1.4,9.5,5.6,22.8,1.3,0.3,21.0,13.7,-0.1,0.7,0.6,0.027999999999999997,-2.6,-1.5,-4.0,-0.5,"Pelicans, Pistons",2017-2018,REG,49,0.39,1.27,0.73,0.22,0.98,1.59,0.96,1.41,1.016
344,Raul Neto,PG,5.0,10.9,0.457,1.4,3.4,0.40399999999999997,3.6,7.5,0.48100000000000004,1.9,2.5,0.743,0.5,3.0,3.5,5.4,0.9,0.3,2.6,2.7,13.2,11.9,0.55,0.311,0.23199999999999998,1.6,9.5,5.6,23.0,1.3,0.7,17.8,18.3,0.3,0.6,0.9,0.086,-2.1,-1.1,-3.2,-0.1,Jazz,2017-2018,REG,39,0.46,2.26,0.87,0.41,0.64,1.31,0.87,1.77,1.218
345,Georges Niang,PF,4.5,12.4,0.364,0.0,4.5,0.0,4.5,7.9,0.5710000000000001,1.1,2.3,0.5,3.4,6.8,10.1,3.4,2.3,0.0,3.4,1.1,10.1,9.2,0.379,0.364,0.182,10.8,21.1,16.0,14.0,3.1,0.0,20.2,20.9,-0.1,0.1,0.0,-0.028999999999999998,-5.5,1.4,-4.0,0.0,Jazz,2017-2018,REG,5,0.0,0.8,0.4,0.0,0.0,0.0,0.0,0.8,1.0
346,Joakim Noah,C,4.5,9.0,0.5,0.0,0.0,,4.5,9.0,0.5,1.8,3.6,0.5,5.4,7.2,12.6,3.6,1.8,1.8,3.6,4.5,10.8,15.6,0.51,0.0,0.4,16.7,22.1,19.4,14.0,2.5,4.3,25.4,17.2,0.0,0.1,0.1,0.07200000000000001,-2.4,3.4,1.0,0.0,Knicks,2017-2018,REG,7,0.0,1.43,0.29,0.43,0.0,0.29,0.0,1.43,1.2
347,Nerlens Noel,C,4.2,8.0,0.524,0.0,0.1,0.0,4.2,7.9,0.529,1.6,2.1,0.75,3.7,9.2,12.8,1.5,2.4,1.7,2.0,4.5,10.0,16.2,0.5579999999999999,0.01,0.267,10.9,29.3,19.8,6.3,3.3,4.1,18.1,13.8,0.4,1.0,1.3,0.135,-3.5,4.5,1.0,0.4,Mavericks,2017-2018,REG,23,0.09,3.39,1.0,0.65,1.57,0.96,1.26,0.57,1.205
348,Lucas Nogueira,C,4.2,6.9,0.613,0.4,1.6,0.263,3.8,5.3,0.721,1.6,2.4,0.679,1.6,5.9,7.5,1.9,2.0,3.7,1.4,4.2,10.5,17.3,0.6609999999999999,0.23800000000000002,0.35,4.9,18.1,11.7,7.2,2.7,8.2,14.8,11.4,0.7,1.0,1.6,0.188,-0.7,6.2,5.4,0.8,Raptors,2017-2018,REG,41,0.15,1.71,0.63,0.37,0.46,0.59,0.39,0.98,1.5230000000000001
349,Dirk Nowitzki,C,6.6,14.4,0.456,2.6,6.4,0.409,3.9,8.0,0.494,1.8,2.0,0.898,0.4,7.9,8.3,2.3,0.8,0.9,1.0,2.8,17.6,16.7,0.575,0.445,0.142,1.2,25.2,12.8,10.4,1.1,2.1,6.0,20.5,2.6,2.2,4.8,0.121,0.1,0.3,0.3,1.1,Mavericks,2017-2018,REG,67,0.72,1.55,1.3,1.36,3.07,3.13,3.01,3.18,1.2409999999999999
350,Frank Ntilikina,PG,3.8,10.6,0.364,1.1,3.3,0.318,2.8,7.2,0.385,1.0,1.4,0.721,0.8,3.0,3.7,5.3,1.4,0.4,2.8,3.8,9.8,7.0,0.43700000000000006,0.314,0.136,2.4,9.1,5.8,20.0,1.9,0.9,19.8,16.9,-2.0,1.1,-0.9,-0.026000000000000002,-3.5,-0.5,-3.9,-0.8,Knicks,2017-2018,REG,66,0.35,1.55,0.89,0.38,0.89,1.79,0.89,1.83,0.9129999999999999
351,Jusuf Nurkic,C,8.3,16.4,0.505,0.0,0.1,0.0,8.3,16.3,0.508,3.0,4.7,0.63,3.3,8.9,12.2,2.5,1.1,1.9,3.2,4.3,19.5,19.2,0.528,0.006999999999999999,0.287,10.0,26.9,18.5,11.7,1.5,4.3,14.6,26.4,0.8,3.9,4.7,0.10800000000000001,-2.6,2.8,0.3,1.2,Trail Blazers,2017-2018,REG,65,0.51,9.91,1.83,2.35,4.65,2.92,3.88,2.62,1.172
352,David Nwaba,SG,4.4,9.3,0.478,0.4,1.1,0.34600000000000003,4.0,8.1,0.496,2.9,4.4,0.655,1.9,5.2,7.1,2.3,1.3,0.6,1.7,3.5,12.1,12.2,0.542,0.12300000000000001,0.48,5.6,16.0,10.6,9.4,1.7,1.6,13.1,15.6,1.1,1.4,2.4,0.071,-2.5,0.9,-1.6,0.1,Bulls,2017-2018,REG,56,1.79,4.89,1.54,1.32,1.45,1.95,1.55,2.61,1.476
353,Royce O'Neale,SF,3.8,8.9,0.423,1.3,3.7,0.35600000000000004,2.4,5.2,0.47,1.9,2.4,0.8029999999999999,0.8,6.6,7.4,3.0,1.1,0.5,1.7,3.3,10.7,10.8,0.54,0.415,0.268,2.5,20.6,11.7,12.0,1.6,1.2,14.8,14.6,0.5,1.8,2.4,0.099,-2.4,1.7,-0.6,0.4,Jazz,2017-2018,REG,56,0.95,1.93,0.96,0.36,0.75,1.38,0.8,1.91,1.189
354,Kyle O'Quinn,C,5.8,10.0,0.583,0.1,0.4,0.235,5.7,9.5,0.599,2.5,3.3,0.772,3.1,9.1,12.2,4.1,0.9,2.5,2.6,5.0,14.3,20.0,0.625,0.044000000000000004,0.331,9.7,27.8,18.8,16.8,1.3,6.1,18.5,17.0,2.7,2.1,4.8,0.166,0.2,4.3,4.5,2.3,Knicks,2017-2018,REG,67,0.3,4.51,1.16,1.52,1.33,1.96,1.57,2.15,1.466
355,Semi Ojeleye,PF,2.0,5.9,0.34600000000000003,1.3,3.9,0.32,0.8,2.0,0.397,0.8,1.3,0.61,1.2,3.9,5.0,0.6,0.7,0.1,0.8,2.8,6.1,4.6,0.473,0.665,0.218,3.6,11.6,7.7,2.4,0.9,0.3,10.8,9.0,-0.2,1.3,1.2,0.048,-3.6,0.1,-3.5,-0.4,Celtics,2017-2018,REG,59,0.27,0.34,0.39,0.29,0.31,0.75,0.29,0.95,0.971
