Player,Pos,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,MPG
Dave DeBusschere,PF,79,0,2627,6.687476208602969,14.827559954320519,0.0,0.0,2.4118766653977923,3.508184240578607,0.0,0.0,2.6585458698134756,0.0,0.0,0.0,3.3437381043014844,15.786829082603731,14.8,0.48200000000000004,0.0,0.237,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.7,5.8,6.6,0.12,0.0,0.0,0.0,33.25316455696203
Connie Dierking,C,76,0,2448,7.661764705882353,18.27941176470588,0.0,0.0,3.3823529411764706,4.5,0.0,0.0,2.485294117647059,0.0,0.0,0.0,4.044117647058823,18.705882352941178,13.6,0.462,0.0,0.24600000000000002,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,-0.7,2.2,1.5,0.028999999999999998,0.0,0.0,0.0,32.21052631578947
Joe Ellis,SF,76,0,2380,7.578151260504201,18.499159663865548,0.0,0.0,3.0252100840336134,4.084033613445378,0.0,0.0,2.1025210084033614,0.0,0.0,0.0,4.250420168067227,18.181512605042016,13.0,0.44799999999999995,0.0,0.221,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,-1.7,2.7,1.0,0.019,0.0,0.0,0.0,31.31578947368421
Walt Frazier,PG,77,0,3040,7.105263157894737,13.713157894736842,0.0,0.0,4.843421052631579,6.477631578947369,0.0,0.0,7.4486842105263165,0.0,0.0,0.0,2.403947368421053,19.053947368421053,21.1,0.575,0.0,0.47200000000000003,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,8.6,6.4,15.0,0.23600000000000002,0.0,0.0,0.0,39.48051948051948
Dick Garrett,SG,73,0,2318,5.497842968075927,12.672993960310611,0.0,0.0,2.1432269197584124,2.515962036238136,0.0,0.0,2.795513373597929,0.0,0.0,0.0,3.6652286453839515,13.138912855910267,9.4,0.47700000000000004,0.0,0.19899999999999998,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.3,2.0,2.3,0.047,0.0,0.0,0.0,31.753424657534246
Gail Goodrich,PG,81,0,3234,6.3228200371057515,13.925788497217068,0.0,0.0,5.432282003710575,6.723562152133581,0.0,0.0,6.73469387755102,0.0,0.0,0.0,2.7940630797773656,18.07792207792208,16.3,0.535,0.0,0.483,0.0,0.0,0.0,24.9,0.0,0.0,0.0,0.0,5.4,1.3,6.7,0.099,0.0,0.0,0.0,39.925925925925924
Johnny Green,PF,78,0,2278,7.601404741000879,13.590869183494295,0.0,0.0,4.0140474100087795,6.77963125548727,0.0,0.0,1.7699736611062336,0.0,0.0,0.0,4.235294117647059,19.216856892010536,18.4,0.58,0.0,0.499,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,5.9,2.5,8.4,0.177,0.0,0.0,0.0,29.205128205128204
Hal Greer,SG,80,0,3024,8.392857142857142,18.46428571428571,0.0,0.0,4.19047619047619,5.142857142857142,0.0,0.0,4.821428571428571,0.0,0.0,0.0,3.571428571428571,20.976190476190474,15.8,0.506,0.0,0.27899999999999997,0.0,0.0,0.0,17.7,0.0,0.0,0.0,0.0,3.3,3.0,6.2,0.099,0.0,0.0,0.0,37.8
Happy Hairston,PF,55,0,2145,7.14965034965035,14.601398601398602,0.0,0.0,4.716083916083916,5.874125874125874,0.0,0.0,1.8461538461538463,0.0,0.0,0.0,3.255944055944056,19.015384615384615,19.5,0.608,0.0,0.612,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,1.0,0.2,1.1,0.191,0.0,0.0,0.0,39.0
Art Harris,SG,5,0,178,5.662921348314606,14.764044943820224,0.0,0.0,0.8089887640449438,1.8202247191011236,0.0,0.0,4.044943820224719,0.0,0.0,0.0,2.2247191011235956,12.134831460674157,7.6,0.39,0.0,0.12300000000000001,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,-0.3,0.1,-0.2,-0.066,0.0,0.0,0.0,35.6
Clem Haskins,SG,82,0,3214,7.482265090230243,16.644679527069073,0.0,0.0,3.7187305538270072,4.749222153080274,0.0,0.0,6.989421281891724,0.0,0.0,0.0,2.6546359676415685,18.683260734287494,16.5,0.499,0.0,0.285,0.0,0.0,0.0,27.8,0.0,0.0,0.0,0.0,2.8,3.4,6.1,0.092,0.0,0.0,0.0,39.19512195121951
John Havlicek,SG,81,0,3369,7.8646482635796975,16.936776491540517,0.0,0.0,5.2146037399821905,6.176313446126447,0.0,0.0,5.8771148708815675,0.0,0.0,0.0,2.254674977738201,20.943900267141586,20.0,0.5329999999999999,0.0,0.365,0.0,0.0,0.0,23.2,0.0,0.0,0.0,0.0,6.4,4.2,10.6,0.151,0.0,0.0,0.0,41.592592592592595
Connie Hawkins,SF,81,0,3312,7.706521739130435,15.728260869565217,0.0,0.0,6.271739130434782,8.054347826086957,0.0,0.0,4.25,0.0,0.0,0.0,3.119565217391304,21.684782608695652,19.7,0.563,0.0,0.512,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,8.5,1.6,10.2,0.147,0.0,0.0,0.0,40.888888888888886
Elvin Hayes,C,82,0,3665,8.977899045020463,19.84174624829468,0.0,0.0,4.2040927694406545,6.109686221009549,0.0,0.0,1.591268758526603,0.0,0.0,0.0,2.652114597544338,22.15989085948158,18.3,0.49200000000000005,0.0,0.308,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,2.3,6.2,8.5,0.111,0.0,0.0,0.0,44.69512195121951
