,Year,Tm,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,.,OWS,DWS,WS,WS/48,..1,OBPM,DBPM,BPM,VORP,OWS/48,DWS/48,Shot%,Player ID,Team Mar,Team MP,Team Gm,Year 3PAr,Team TS%,Tm USG,Tm TS W/O Plyr,Reb/Vers,Defense,Val/Shot,Offense,MPG + Int,RAW SPM,%Min,RAW Contrib,Tm Sum,Tm Adj,BPM.1,StdErr,Contrib,VORP.1,Reb/Vers.1,Val/Shot.1,Offense.1,Defense.1,MPG,Raw OBPM,Contrib.1,Tm Ortg,Tm Sum.1,Tm Adj.1,Tm DRtg,OBPM.1,OStdErr,Ocontrib,OVORP,DBPM.1,DStdErr,Dcontrib,DVORP,Sum SPM,%Min.1,MPG.1,ReMPG,BPM.2,Contrib.2,VORP.2,VORP-Gm,O-BPM,Ocontrib.1,OVORP.1,OVORP-Gm,D-BPM,Dcontrib.1,DVORP.1,DVORP-Gm,Production,Prod-Gm,Exp BPM,TrueTalentBPM,Exp%Min,TrueTalentVORP,TrueSalary,TrueTimeVORP,Adjusted Production,WORP,O-WORP,D-WORP,Adjusted WORP,Estimated Position,BBRef Pos,Age on Feb 1,Yrs Experience,Height,Weight,Rounded Position,Rounded Age
9328,2001,ATL,Brevin Knight,25,47,1364,12.9,0.424,0.027999999999999997,0.16899999999999998,1.8,11.4,6.6,33.4,3.6,0.2,18.0,15.3,,0.1,1.6,1.7,0.06,,-1.6,0.8,-0.8,0.4,0.004,0.055999999999999994,12.5,knighbr01,-6.04,19730,82,0.17,0.5,333601,0.504,2.77,1.66,0.15,-4.99,0.03,-0.54,34.60%,-0.19,-7.1,-0.03,-0.6,2.3,-0.2,0.5,0.4,0.2,-2.5,0.7,0.0,-1.1,-0.4,-4.4,-3.3,-0.4,-1.6,-1.5,1.5,-0.5,0.1,0.9,1.7,0.3,0.4,-2.4,0.3,29.0,26.7,-0.6,-0.2,0.5,0.9,-1.5,-0.5,0.1,0.1,0.9,0.3,0.4,0.7,"$3,200,000 ","$4,800,000 ",-0.8,-0.7,0.41,0.5,"$3,400,000 ",0.6,"$3,600,000 ",1.3,0.2,1.1,1.6,1.0,1.0,25.24,3.0,70.0,173.0,1.0,25.0
9329,2001,LAC,Corey Maggette,21,69,1359,18.2,0.562,0.115,0.591,7.6,16.6,12.3,10.8,1.4,0.5,14.7,24.5,,2.7,1.1,3.9,0.13699999999999998,,0.8,-1.3,-0.5,0.5,0.09699999999999999,0.04,20.9,maggeco01,-2.45,20030,82,0.17,0.514,340552,0.51,0.26,-0.94,0.06,0.64,-0.98,-1.01,33.90%,-0.34,-5.58,0.53,-0.5,2.3,-0.2,0.5,0.3,0.4,0.7,0.0,-0.5,0.8,0.3,-1.4,-2.1,0.1,-1.1,0.9,1.5,0.3,0.9,-1.4,1.7,-0.5,-0.4,2.2,0.3,19.7,18.6,-0.5,-0.2,0.5,0.6,0.9,0.3,0.9,1.0,-1.4,-0.5,-0.4,-0.4,"$3,300,000 ","$3,700,000 ",-2.0,-1.2,0.33,0.3,"$2,100,000 ",0.5,"$3,200,000 ",1.4,2.4,-1.0,1.3,2.8,3.0,21.22,1.0,78.0,218.0,3.0,21.0
9330,2001,LAC,Quentin Richardson,20,76,1358,16.5,0.516,0.28800000000000003,0.301,9.1,12.5,10.8,8.3,1.7,0.4,9.7,22.4,,2.1,1.0,3.0,0.106,,1.4,-1.7,-0.2,0.6,0.07200000000000001,0.034,20.2,richaqu01,-2.45,20030,82,0.17,0.514,340552,0.514,-0.43,-0.62,-0.03,1.38,-1.18,-0.85,33.90%,-0.29,-5.58,0.53,-0.3,2.3,-0.1,0.6,0.6,0.3,1.2,0.1,-0.6,1.5,0.5,-1.4,-2.1,0.1,-1.1,1.6,1.5,0.5,1.1,-1.9,1.7,-0.6,-0.5,3.5,0.3,17.9,17.0,-0.3,-0.1,0.6,0.6,1.6,0.5,1.1,1.2,-1.9,-0.6,-0.5,-0.6,"$3,500,000 ","$3,700,000 ",-2.3,-1.3,0.31,0.2,"$1,900,000 ",0.5,"$3,300,000 ",1.5,3.0,-1.5,1.4,2.9,2.0,20.81,0.0,78.0,223.0,3.0,21.0
9331,2001,NJN,Evan Eschmeyer,25,74,1331,10.8,0.512,0.0,0.51,11.3,20.5,15.8,4.7,1.6,3.3,17.8,10.1,,1.1,1.5,2.5,0.091,,-2.6,1.5,-1.2,0.3,0.038,0.053,8.3,eschmev01,-5.91,19730,82,0.17,0.504,339590,0.503,-2.0,0.8,-0.17,2.31,-1.17,-0.06,33.70%,-0.02,-1.51,-1.12,-1.2,2.3,-0.4,0.3,0.0,0.2,-1.5,-0.1,-0.6,-2.0,-0.7,-2.9,0.7,-0.9,-3.0,-2.9,1.5,-1.0,-0.4,1.7,1.7,0.6,0.7,-4.6,0.3,18.0,17.1,-1.2,-0.4,0.3,0.3,-2.9,-1.0,-0.4,-0.4,1.7,0.6,0.7,0.8,"$2,200,000 ","$2,400,000 ",-2.8,-2.0,0.22,0.0,"$1,000,000 ",0.2,"$1,800,000 ",0.8,-1.1,1.8,0.5,5.0,5.0,25.68,1.0,83.0,255.0,5.0,26.0
9332,2001,ATL,DerMarr Johnson,20,78,1313,8.4,0.46299999999999997,0.326,0.223,4.7,10.4,7.6,7.9,1.7,1.6,17.8,17.7,,-0.9,0.9,0.0,0.0,,-2.7,-0.2,-2.9,-0.3,-0.033,0.033,14.5,johnsde03,-6.04,19730,82,0.17,0.5,333601,0.502,-1.89,0.02,-0.11,-0.07,-1.3,-3.24,33.30%,-1.08,-7.1,-0.03,-3.3,2.3,-1.1,-0.4,-0.5,0.2,-1.6,0.0,-0.7,-2.6,-0.9,-4.4,-3.3,-0.4,-1.6,-3.0,1.5,-1.0,-0.4,-0.3,1.7,-0.1,0.0,-2.7,0.3,16.8,16.0,-3.3,-1.1,-0.4,-0.4,-3.0,-1.0,-0.4,-0.5,-0.3,-0.1,0.0,0.0,"($900,000)","($1,000,000)",-3.0,-3.1,0.05,-0.1,"$700,000 ",-0.1,"$700,000 ",-1.1,-1.2,0.0,-0.2,3.0,3.0,20.75,0.0,81.0,201.0,3.0,21.0
9333,2001,VAN,Stromile Swift,21,80,1312,13.1,0.48700000000000004,0.012,0.41600000000000004,9.6,15.1,12.4,3.5,2.5,4.3,13.8,16.2,,0.2,1.6,1.9,0.069,,-3.3,1.7,-1.6,0.1,0.009000000000000001,0.06,14.0,swiftst01,-5.47,19780,82,0.17,0.51,336707,0.511,-2.86,2.46,-0.25,0.78,-1.35,-0.96,33.20%,-0.32,-3.66,-0.58,-1.5,2.3,-0.5,0.2,-0.3,0.1,-1.8,0.1,-0.7,-2.6,-0.9,-3.6,0.0,-0.9,-1.9,-3.4,1.5,-1.1,-0.6,1.9,1.7,0.6,0.7,-5.3,0.3,16.4,15.6,-1.5,-0.5,0.2,0.2,-3.4,-1.1,-0.6,-0.6,1.9,0.6,0.7,0.7,"$1,700,000 ","$1,700,000 ",-3.0,-2.3,0.17,-0.1,"$800,000 ",0.1,"$1,400,000 ",0.4,-1.6,2.0,0.2,3.9,4.0,21.2,0.0,81.0,225.0,4.0,21.0
9334,2001,NYK,Chris Childs,33,51,1309,9.1,0.506,0.28800000000000003,0.207,1.3,11.1,6.4,29.0,1.6,0.4,28.8,12.7,,0.1,1.8,2.0,0.073,,-2.2,0.7,-1.5,0.2,0.005,0.068,9.0,childch01,2.38,19905,82,0.17,0.523,339882,0.523,1.86,-0.75,0.28,-4.04,-0.34,-3.26,32.90%,-1.07,-5.14,1.6,-1.7,2.3,-0.5,0.1,0.1,0.4,-2.6,0.0,-0.2,-2.2,-0.7,-2.0,-1.9,-0.1,4.4,-2.3,1.5,-0.8,-0.2,0.7,1.7,0.2,0.3,-3.0,0.3,25.7,23.8,-1.7,-0.5,0.1,0.2,-2.3,-0.8,-0.2,-0.3,0.7,0.2,0.3,0.5,"$1,500,000 ","$1,800,000 ",-0.2,-0.9,0.38,0.4,"$2,800,000 ",0.1,"$1,600,000 ",0.3,-0.5,0.8,0.3,1.1,1.0,33.2,6.0,75.0,195.0,1.0,33.0
9335,2001,MIA,Dan Majerle,35,53,1306,9.4,0.48,0.6990000000000001,0.17,1.8,13.3,7.6,11.0,2.2,0.9,11.2,11.6,,0.5,2.1,2.6,0.09699999999999999,,-1.1,1.9,0.8,0.9,0.019,0.078,10.3,majerda01,1.87,19880,82,0.17,0.515,343498,0.516,-1.66,0.27,0.06,2.26,-0.45,0.43,32.80%,0.14,0.56,0.34,0.8,2.3,0.3,0.9,-1.1,0.4,0.6,0.2,-0.2,-0.2,-0.1,-2.1,2.8,-1.1,4.0,-1.3,1.5,-0.4,0.1,2.0,1.7,0.7,0.8,-3.3,0.3,24.6,22.9,0.8,0.3,0.9,1.4,-1.3,-0.4,0.1,0.2,2.0,0.7,0.8,1.2,"$5,000,000 ","$7,200,000 ",-0.4,0.2,0.53,1.1,"$6,100,000 ",1.5,"$7,500,000 ",2.5,0.4,2.1,4.0,2.5,2.0,35.4,12.0,78.0,215.0,2.0,35.0
9336,2001,CHI,Bryce Drew,26,48,1305,7.9,0.45,0.321,0.057999999999999996,1.1,5.4,3.1,24.0,1.3,0.2,16.9,14.4,,-0.3,-0.1,-0.4,-0.015,,-3.0,-3.5,-6.5,-1.5,-0.011000000000000001,-0.004,12.0,drewbr01,-10.19,19855,82,0.17,0.495,337292,0.49700000000000005,-0.93,-1.23,0.15,-1.95,-0.18,-4.29,32.90%,-1.41,0.3,-2.51,-6.8,2.3,-2.2,-1.6,-0.6,0.3,-1.1,-0.1,-0.1,-1.5,-0.5,-5.5,1.0,-1.5,-4.7,-3.0,1.5,-1.0,-0.4,-3.8,1.7,-1.2,-1.2,0.8,0.3,27.2,25.1,-6.8,-2.2,-1.6,-2.7,-3.0,-1.0,-0.4,-0.7,-3.8,-1.2,-1.2,-2.0,"($6,000,000)","($10,900,000)",-1.7,-4.2,0.0,0.0,,0.0,,-4.3,-1.1,-3.1,0.0,1.0,1.0,26.37,2.0,74.0,185.0,1.0,26.0
9337,2001,UTA,Danny Manning,34,82,1305,14.3,0.537,0.055999999999999994,0.28,6.4,13.8,10.2,12.6,1.9,1.8,14.6,23.2,,1.2,1.4,2.6,0.09699999999999999,,-0.3,-0.1,-0.4,0.5,0.045,0.052000000000000005,19.8,mannida01,5.53,19780,82,0.17,0.546,335914,0.547,0.41,0.38,-0.05,-1.32,-1.4,-1.94,33.00%,-0.64,-0.42,1.41,-0.5,2.3,-0.2,0.5,0.3,0.2,-1.3,0.1,-0.7,-1.4,-0.5,4.6,0.6,1.0,0.9,-0.4,1.5,-0.1,0.4,-0.1,1.7,0.0,0.1,-0.3,0.3,15.9,15.2,-0.5,-0.2,0.5,0.5,-0.4,-0.1,0.4,0.4,-0.1,0.0,0.1,0.1,"$3,200,000 ","$3,200,000 ",-1.5,-1.0,0.36,0.3,"$2,500,000 ",0.5,"$3,300,000 ",1.3,1.1,0.2,1.4,3.7,4.0,34.71,12.0,82.0,230.0,4.0,35.0
