Index,Player,Pos,FG-per-36,FGA-per-36,FG%-per-36,3P-per-36,3PA-per-36,3P%-per-36,2P-per-36,2PA-per-36,2P%-per-36,FT-per-36,FTA-per-36,FT%-per-36,ORB-per-36,DRB-per-36,TRB-per-36,AST-per-36,STL-per-36,BLK-per-36,TOV-per-36,PF-per-36,PTS-per-36,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Fast Break Pts,Points In Paint,Points off TO,2nd Chance PTS,Q1 Points Per Game,Q2 Points Per Game,Q3 Points Per Game,Q4 Points Per Game,Points scored per shot,A2TO,MPG
2,Steven Adams,C,0.3968253968253970,0.13934426229508200,0.943859649122807,0.0,0.0,0.0,0.6125,0.4866666666666670,0.945736434108527,0.20731707317073200,0.34042553191489400,0.2250000000000000,1.0,0.22115384615384600,0.4966442953020140,0.0,0.368421052631579,0.3846153846153850,0.26190476190476200,0.6428571428571430,0.22772277227722800,0.9154929577464790,0.799777117384844,0.5445544554455450,0.805194805194805,0.004225352112676060,0.541455160744501,1.0,0.24522292993630600,0.504424778761062,0.006726457399103140,0.37037037037037000,0.4193548387096770,0.41139240506329100,0.11009174311926600,0.6230769230769230,0.509090909090909,0.6346153846153850,0.6554054054054060,0.3937007874015750,0.5227272727272730,0.49668874172185400,0.44000000000000000,0.17137096774193500,0.6992323796231680,0.08870967741935490,0.7987927565392350,0.404891304347826,0.24584103512014800,0.12311901504788000,0.07008547008547010,0.7231182795698920,0.6962524654832350,0.502673592544496
6,LaMarcus Aldridge,C,0.9365079365079370,0.8770491803278690,0.5263157894736840,0.0851063829787234,0.11711711711711700,0.6260683760683760,0.9875,1.0,0.5387596899224810,0.5121951219512190,0.5106382978723400,0.8041666666666670,0.625,0.3365384615384620,0.4429530201342280,0.1022727272727270,0.0,0.4615384615384620,0.19047619047619000,0.3571428571428570,0.7029702970297030,0.9014084507042250,0.8079494799405650,0.7623762376237620,0.5454545454545450,0.09577464788732400,0.36209813874788500,0.6506024096385540,0.35350318471337600,0.4469026548672570,0.13677130044843100,0.03703703703703700,0.4516129032258060,0.00632911392405061,0.6788990825688070,0.676923076923077,0.6,0.7115384615384620,0.7297297297297300,0.4566929133858270,0.43181818181818200,0.49668874172185400,0.44000000000000000,0.040322580645161300,0.6510816468946270,0.42473118279569900,0.8028169014084510,0.5991847826086960,0.5951940850277270,0.46238030095759200,0.5452991452991450,0.4274193548387100,0.28205128205128200,0.5895113691340100
10,Al-Farouq Aminu,PF,0.0,0.12295081967213100,0.12280701754386000,0.46808510638297900,0.5315315315315320,0.7884615384615390,0.025000000000000000,0.08000000000000000,0.17441860465116300,0.048780487804878000,0.053191489361702100,0.5979166666666670,0.3035714285714290,0.5096153846153850,0.4429530201342280,0.022727272727272700,0.42105263157894700,0.23076923076923100,0.14285714285714300,0.39285714285714300,0.024752475247524800,0.8169014084507040,0.6456166419019320,0.1188118811881190,0.33766233766233800,0.8197183098591550,0.09306260575296110,0.3132530120481930,0.5127388535031850,0.43805309734513300,0.013452914798206300,0.40740740740740700,0.22580645161290300,0.2911392405063290,0.02293577981651380,0.1769230769230770,0.5454545454545450,0.2820512820512820,0.3513513513513510,0.15748031496063000,0.6136363636363640,0.3509933774834440,0.27,0.054435483870967700,0.07815771109560360,0.04838709677419360,0.1368209255533200,0.09375000000000000,0.0,0.045143638850889200,0.005128205128205130,0.22983870967741900,0.3982905982905980,0.1819692475968110
15,Giannis Antetokounmpo,PF,0.9047619047619050,0.7950819672131150,0.5929824561403510,0.1276595744680850,0.16216216216216200,0.655982905982906,0.9375,0.9,0.6472868217054260,0.7073170731707320,0.7978723404255320,0.64375,0.35714285714285700,0.548076923076923,0.48993288590604000,0.38636363636363600,0.42105263157894700,0.5000000000000000,0.5000000000000000,0.6071428571428570,0.7722772277227720,0.9014084507042250,0.899702823179792,0.8762376237623760,0.6666666666666660,0.14084507042253500,0.6345177664974620,0.40361445783132500,0.60828025477707,0.5353982300884960,0.41479820627802700,0.4444444444444440,0.50000000000000000,0.31645569620253200,0.775229357798165,0.7461538461538460,0.6181818181818180,0.7756410256410260,0.722972972972973,0.5275590551181100,0.6136363636363640,0.662251655629139,0.65,0.8427419354838710,1.0,0.7016129032258060,0.5171026156941650,0.6453804347826090,0.822550831792976,0.7086183310533520,0.8153846153846150,0.6733870967741940,0.21985815602836900,0.9814610546686020
16,Carmelo Anthony,PF,0.44444444444444400,0.6721311475409840,0.15438596491228100,0.5106382978723400,0.6126126126126130,0.762820512820513,0.35000000000000000,0.4666666666666670,0.19379844961240300,0.18292682926829300,0.20212765957446800,0.6583333333333330,0.17857142857142900,0.3365384615384620,0.2684563758389260,0.022727272727272700,0.05263157894736840,0.23076923076923100,0.14285714285714300,0.5357142857142860,0.3712871287128710,0.9436619718309860,0.8049777117384840,0.15346534653465300,0.25541125541125500,0.571830985915493,0.14043993231810500,0.17469879518072300,0.3662420382165610,0.26991150442477900,0.02914798206278030,0.03703703703703700,0.25806451612903200,0.03797468354430380,0.4082568807339450,0.20000000000000000,0.41818181818181800,0.25000000000000000,0.2635135135135140,0.07086614173228350,0.18181818181818200,0.026490066225165600,0.0,0.284274193548387,0.12002791346824800,0.3655913978494620,0.4164989939637830,0.40081521739130400,0.41589648798521300,0.3324213406292750,0.18461538461538500,0.1935483870967740,0.3982905982905980,0.4241747608946440
19,Trevor Ariza,SF,0.04761904761904760,0.13934426229508200,0.18245614035087700,0.574468085106383,0.6576576576576580,0.7863247863247860,0.0,0.0,0.5116279069767440,0.07317073170731710,0.053191489361702100,0.8395833333333340,0.08928571428571430,0.19230769230769200,0.14765100671140900,0.04545454545454550,0.5263157894736840,0.038461538461538500,0.0,0.28571428571428600,0.08415841584158420,0.7887323943661970,0.7187964338781580,0.10891089108910900,0.5324675324675330,1.0,0.09306260575296110,0.10240963855421700,0.21337579617834400,0.15044247787610600,0.03587443946188340,0.48148148148148100,0.04838709677419360,0.018987341772151900,0.004587155963302740,0.3076923076923080,0.47272727272727300,0.3525641025641030,0.40540540540540500,0.28346456692913400,0.47727272727272700,0.37748344370860900,0.31,0.48991935483871000,0.08792742498255410,0.2876344086021510,0.10865191146881300,0.21739130434782600,0.1608133086876160,0.060191518467852300,0.1606837606837610,0.3911290322580650,0.13725490196078400,0.6385850139722290
26,Lonzo Ball,PG,0.015873015873015800,0.2295081967213120,0.0,0.3829787234042550,0.5405405405405410,0.6517094017094020,0.08750000000000000,0.16000000000000000,0.12790697674418600,0.0,0.053191489361702100,0.0,0.25,0.3653846153846150,0.32214765100671100,0.7159090909090910,0.6315789473684210,0.3076923076923080,0.4761904761904760,0.39285714285714300,0.0,0.5774647887323940,0.537147102526003,0.14356435643564400,0.0,0.7366197183098590,0.07445008460236890,0.25301204819277100,0.35350318471337600,0.3053097345132740,0.5381165919282510,0.5925925925925930,0.2903225806451610,0.7531645569620250,0.14220183486238500,0.06923076923076920,0.41818181818181800,0.14102564102564100,0.20270270270270300,0.15748031496063000,0.6818181818181820,0.39072847682119200,0.28000000000000000,0.17943548387096800,0.15771109560362900,0.10483870967741900,0.13883299798792800,0.02989130434782610,0.14048059149722700,0.10396716826265400,0.041025641025641000,0.0,0.07962213225371120,0.6820363961147710
27,Harrison Barnes,PF,0.5238095238095240,0.6475409836065570,0.29824561403508800,0.3404255319148940,0.4144144144144140,0.762820512820513,0.5125,0.6,0.3527131782945740,0.3536585365853660,0.36170212765957400,0.7833333333333340,0.19642857142857100,0.30769230769230800,0.2617449664429530,0.09090909090909090,0.05263157894736840,0.038461538461538500,0.19047619047619000,0.0,0.45049504950495100,0.9295774647887320,0.8543833580980680,0.3069306930693070,0.4112554112554110,0.3887323943661970,0.2994923857868020,0.18674698795180700,0.3471337579617840,0.2654867256637170,0.10538116591928300,0.03703703703703700,0.04838709677419360,0.08860759493670880,0.50000000000000000,0.26153846153846200,0.3090909090909090,0.25641025641025600,0.2601351351351350,0.1653543307086610,0.23863636363636400,0.1390728476821190,0.1,0.08266129032258060,0.4145150034891840,0.22043010752688200,0.19919517102615700,0.4089673913043480,0.46025878003696900,0.3898768809849520,0.36239316239316200,0.35887096774193500,0.30158730158730200,0.6793018302452260
28,Will Barton,SG,0.3492063492063490,0.42622950819672100,0.3228070175438600,0.44680851063829800,0.5135135135135140,0.7905982905982910,0.31250000000000000,0.34000000000000000,0.4767441860465120,0.21951219512195100,0.22340425531914900,0.7375000000000000,0.16071428571428600,0.23076923076923100,0.20134228187919500,0.35227272727272700,0.2631578947368420,0.23076923076923100,0.2857142857142860,0.3571428571428570,0.31188118811881200,0.9859154929577470,0.8725854383358100,0.3267326732673270,0.510822510822511,0.5788732394366200,0.23350253807106600,0.18072289156626500,0.2547770700636940,0.20796460176991100,0.29820627802690600,0.25925925925925900,0.22580645161290300,0.31645569620253200,0.29357798165137600,0.44615384615384600,0.29090909090909100,0.4102564102564100,0.39864864864864900,0.3464566929133860,0.32954545454545500,0.3443708609271520,0.31,0.5766129032258060,0.3656664340544310,0.3494623655913980,0.19919517102615700,0.24048913043478300,0.35489833641404800,0.08891928864569080,0.41538461538461500,0.36424731182795700,0.1282051282051280,0.5502517515096130
29,Nicolas Batum,SG,0.1428571428571430,0.2622950819672130,0.19298245614035100,0.36170212765957400,0.45045045045045000,0.7179487179487180,0.2,0.2533333333333330,0.3333333333333330,0.17073170731707300,0.15957446808510600,0.7916666666666670,0.17857142857142900,0.23076923076923100,0.2080536912751680,0.5681818181818180,0.3157894736842110,0.11538461538461500,0.38095238095238100,0.0,0.13366336633663400,0.7464788732394370,0.611812778603269,0.2376237623762380,0.341991341991342,0.5943661971830990,0.19966159052453500,0.18674698795180700,0.24203821656051000,0.1991150442477880,0.4708520179372200,0.2962962962962960,0.12903225806451600,0.5632911392405060,0.18348623853211000,0.23846153846153800,0.29090909090909100,0.2371794871794870,0.30743243243243200,0.29133858267716500,0.45454545454545500,0.37086092715231800,0.28000000000000000,0.06048387096774190,0.08583391486392180,0.11021505376344100,0.14486921529175000,0.2622282608695650,0.0702402957486137,0.19288645690834500,0.06324786324786330,0.2607526881720430,0.08669108669108670,0.29195391872278700
