Player,Pos,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,MPG
Dennis Scott,SF,82,82,3041,5.812561657349556,13.22328181519237,3.1608023676422228,7.434396580072344,2.154554422887208,2.6280828674778034,0.7458073002301874,2.9121999342321603,2.876685300887866,1.0654390003288392,0.34330812232818153,1.4442617560013153,2.0006576783952648,16.94048010522854,16.1,0.589,0.562,0.19899999999999998,2.5,9.2,5.9,12.4,1.5,0.7,9.1,19.9,6.4,2.4,8.8,0.138,2.9,-0.6,2.3,37.08536585365854
Joe Smith,PF,82,82,2821,5.9851116625310175,13.067706487061326,0.12761432116270827,0.3573200992555831,3.8667139312300605,5.002481389578164,3.828429634881248,5.321517192484935,1.0081531371853953,1.0847217298830203,1.7100319035802907,1.761077632045374,2.858560794044665,15.964551577454804,17.2,0.523,0.027000000000000003,0.38299999999999995,12.1,17.2,14.6,4.6,1.5,3.4,10.3,20.6,4.1,2.7,6.8,0.11599999999999999,0.3,-1.0,-0.7,34.40243902439025
Steve Smith,SG,80,80,2856,6.226890756302521,14.407563025210084,1.7647058823529411,5.331932773109243,4.008403361344538,4.852941176470589,1.5630252100840336,2.5462184873949583,2.823529411764706,0.8571428571428572,0.2142857142857143,1.9033613445378152,2.6092436974789917,18.22689075630252,16.6,0.551,0.37,0.337,4.9,8.7,6.7,13.4,1.3,0.5,10.3,23.0,6.4,1.5,7.9,0.133,2.2,-1.3,1.0,35.7
Rik Smits,C,63,63,1901,8.824829037348763,16.93003682272488,0.01893740136770121,0.09468700683850605,4.37453971593898,5.548658600736454,2.253550762756444,5.94634402945818,2.083114150447133,0.3976854287217254,0.8521830615465544,3.0299842188321935,4.279852709100473,22.043135192004208,19.0,0.569,0.006,0.32799999999999996,8.1,20.0,14.2,11.4,0.6,1.9,13.5,28.6,2.9,2.1,5.0,0.127,1.0,-0.5,0.5,30.174603174603174
Latrell Sprewell,SG,78,78,3064,6.050913838120104,14.122715404699738,1.0691906005221932,3.31331592689295,4.135770234986945,5.240208877284595,1.4569190600522193,3.0078328981723237,3.8537859007832895,1.4921671018276763,0.5287206266318538,2.608355091383812,1.762402088772846,17.306788511749346,15.9,0.527,0.235,0.371,4.6,9.7,7.1,17.7,2.1,1.1,13.7,23.0,3.6,1.9,5.5,0.086,1.3,-0.6,0.7,39.282051282051285
Jerry Stackhouse,SG,72,71,2701,6.024435394298409,14.541281007034431,1.2395409107737876,3.891891891891892,5.158089596445761,6.904109589041096,1.1995557201036653,2.3324694557571273,3.7052943354313217,1.012958163643095,1.0529433543132174,3.358756016290263,2.38578304331729,18.446501295816365,14.8,0.525,0.268,0.475,3.7,7.7,5.7,19.0,1.5,2.1,16.0,26.0,0.8,0.4,1.2,0.021,0.7,-1.7,-1.0,37.513888888888886
John Starks,SG,81,71,2491,5.41951023685267,12.226415094339622,2.0666399036531513,5.7230028101164185,1.8932155760738658,2.5146527498996387,0.44801284624648735,2.9771176234444,4.5523885989562425,1.4885588117222,0.15897230028101164,2.2545162585307104,3.2661581694098754,14.798875953432356,14.2,0.555,0.46799999999999997,0.20600000000000002,1.5,9.5,5.6,20.8,2.2,0.3,14.5,20.2,2.3,3.4,5.7,0.11,0.2,0.8,1.0,30.753086419753085
Bryant Stith,SG,82,77,2810,4.855516014234875,11.6711743772242,0.5252669039145907,1.896085409252669,4.099644128113879,4.855516014234875,1.601423487544484,3.5231316725978647,3.087544483985765,1.4604982206405694,0.20498220640569395,2.0113879003558717,2.395729537366548,14.33594306049822,13.9,0.519,0.162,0.41600000000000004,5.1,11.3,8.2,13.8,2.1,0.4,12.7,19.6,2.7,2.5,5.2,0.08900000000000001,-0.8,0.2,-0.6,34.26829268292683
John Stockton,PG,82,82,2915,5.433962264150943,10.102229845626072,1.1732418524871355,2.778730703259005,2.8898799313893653,3.4826758147512864,0.6668953687821612,2.1241852487135504,11.312521440823327,1.7289879931389365,0.18524871355060032,3.0380789022298456,2.5564322469982845,14.931046312178387,21.9,0.642,0.275,0.345,2.3,7.1,4.8,49.1,2.6,0.4,20.7,18.7,10.1,2.9,13.0,0.214,6.0,0.7,6.8,35.548780487804876
Damon Stoudamire,PG,70,70,2865,6.043979057591623,14.186387434554975,1.6712041884816755,4.234554973821989,2.9654450261780108,3.7193717277486913,0.7413612565445027,2.7895287958115182,8.205235602094241,1.2314136125654451,0.2387434554973822,3.354973821989529,2.08586387434555,16.724607329842932,16.7,0.528,0.298,0.262,2.4,9.3,5.8,37.4,1.8,0.5,17.5,23.5,3.7,0.6,4.3,0.07200000000000001,2.5,-2.4,0.1,40.92857142857143
Rod Strickland,PG,67,63,2526,6.712589073634205,14.57957244655582,0.5415676959619953,1.5819477434679337,3.933491686460808,6.028503562945368,1.2684085510688836,2.96437054631829,9.121140142517815,1.3824228028503565,0.22802850356294538,3.634204275534442,1.9239904988123517,17.90023752969121,19.1,0.519,0.109,0.413,4.0,9.3,6.7,43.4,2.0,0.5,17.4,25.4,3.8,3.3,7.1,0.136,2.9,0.3,3.1,37.701492537313435
Otis Thorpe,PF,82,82,2841,5.727560718057022,10.808870116156283,0.0,0.050686378035902854,3.2565997888067586,4.5871172122492085,2.6737064413938754,6.0443505807814155,2.002111932418163,0.6715945089757128,0.4941921858500528,2.470960929250264,3.801478352692714,14.711721224920803,15.7,0.573,0.005,0.424,9.3,19.6,14.6,10.1,1.0,1.1,16.2,20.3,3.5,4.1,7.6,0.128,-0.4,0.1,-0.4,34.646341463414636
Nick Van Exel,PG,74,74,2513,5.672900915240748,13.609231993633108,2.062873060087545,5.773179466772781,2.335057699960207,2.922403501790688,0.41543971348985276,2.1774771189812974,7.291683247115002,1.0027855153203342,0.14325507361719061,2.2347791484281734,1.647433346597692,15.743732590529248,15.9,0.528,0.424,0.215,1.4,6.9,4.2,30.7,1.4,0.3,13.0,21.4,4.2,1.6,5.7,0.109,2.3,-1.8,0.6,33.95945945945946
Loy Vaught,PF,80,78,2966,6.93054619015509,13.193526635198921,0.08496291301416048,0.2306136210384356,1.808496291301416,2.4881995954147,2.476062036412677,7.331085637221848,1.3594066082265677,1.0559676331759946,0.4855023600809171,1.9177343223196224,2.925151719487525,15.754551584625759,16.7,0.551,0.017,0.18899999999999997,8.1,24.9,16.4,6.3,1.5,1.0,11.8,20.1,3.4,2.9,6.3,0.102,0.1,-1.0,-0.9,37.075
Clarence Weatherspoon,SF,78,75,3096,5.709302325581395,11.80232558139535,0.0,0.023255813953488372,3.697674418604651,4.953488372093023,2.755813953488372,6.0,1.8372093023255813,1.302325581395349,1.255813953488372,2.0813953488372094,2.488372093023256,15.116279069767442,17.1,0.541,0.002,0.42,8.6,19.8,14.0,9.3,1.9,2.6,13.0,19.9,3.4,2.4,5.8,0.08900000000000001,0.1,-0.3,-0.2,39.69230769230769
Chris Webber,PF,15,15,558,9.67741935483871,17.806451612903224,0.967741935483871,2.193548387096774,2.6451612903225805,4.451612903225806,2.3870967741935485,4.967741935483871,4.838709677419355,1.7419354838709677,0.5806451612903225,3.161290322580645,3.290322580645161,22.967741935483872,23.6,0.581,0.12300000000000001,0.25,8.0,15.9,12.0,24.9,2.5,1.2,13.8,28.5,1.2,0.7,1.9,0.165,5.1,0.6,5.7,37.2
Herb Williams,C,1,0,31,3.483870967741936,9.290322580645162,0.0,0.0,0.0,0.0,1.1612903225806452,8.129032258064516,0.0,1.1612903225806452,2.3225806451612905,0.0,4.645161290322581,6.967741935483872,8.7,0.375,0.0,0.0,3.8,27.0,15.4,0.0,1.7,4.9,0.0,11.4,0.0,0.0,0.0,0.033,-5.2,-1.3,-6.5,31.0
Walt Williams,SF,45,45,1381,6.125995655322231,14.076755973931935,1.5119478638667632,4.43157132512672,3.3888486603910213,4.483707458363505,1.6162201303403332,3.7798696596669084,4.301230992034758,1.3816075307748008,1.0948587979724838,2.6850108616944244,3.936278059377263,17.152787834902245,16.2,0.534,0.315,0.319,5.2,12.2,8.7,20.5,2.0,2.3,14.3,22.9,1.6,1.3,2.9,0.10099999999999999,1.5,0.3,1.9,30.68888888888889
Kevin Willis,PF,47,42,1357,5.173176123802505,10.929992630803241,0.0,0.13264554163596168,2.361090641120118,3.316138540899042,3.554900515843773,7.587324981577008,0.9019896831245394,0.5040530582166544,0.6632277081798084,2.6263817243920413,4.1915991156963885,12.707442888725128,12.1,0.513,0.012,0.303,11.8,24.0,18.0,4.2,0.7,1.4,17.5,19.0,-0.1,2.3,2.1,0.076,-2.8,-0.6,-3.4,28.872340425531913
