name,positions,games_played_x,games_started,minutes_played_x,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,MPG
Terrell Brandon,POINT GUARD,78,78,2821,6.521091811414392,14.471464019851117,0.4211272598369373,1.1612903225806452,2.488479262672811,2.858560794044665,0.7656859269762496,3.0372208436724564,7.439914923785891,2.054590570719603,0.2679900744416873,1.978021978021978,1.761077632045374,15.951790145338533,20.0,0.507,0.08,0.198,2.4,9.7,6.0,33.7,3.0,0.5,11.2,22.2,5.8,2.7,8.5,0.145,2.6,0.5,3.1,36.166666666666664
P.J. Brown,CENTER,80,79,2811,3.188900747065101,7.184631803628602,0.0,0.051227321237993596,2.279615795090715,2.6766275346851653,3.2913553895410885,6.211312700106723,1.6264674493062967,0.9989327641408752,1.1782283884738527,1.3831376734258272,3.3297758804695836,8.657417289220918,13.3,0.518,0.006999999999999999,0.373,10.5,19.6,15.1,7.3,1.5,2.4,14.2,12.5,3.4,4.7,8.0,0.13699999999999998,-1.3,0.9,-0.4,35.1375
Kobe Bryant,SHOOTING GUARD,68,68,2783,9.06791232482932,19.53287818900467,0.7890765361121093,2.5871361839741285,6.144448436938555,7.205174272367948,1.3453108156665468,3.81602587136184,4.3722601509162775,1.4746676248652533,0.5562342795544376,2.8458498023715415,2.8717211642112828,25.069349622709307,24.5,0.552,0.132,0.369,4.3,11.8,8.1,23.0,2.1,1.1,11.1,31.8,9.2,2.2,11.3,0.196,5.1,-0.3,4.8,40.9264705882353
Marcus Camby,CENTER,63,63,2127,5.145275035260932,9.816643159379408,0.01692524682651622,0.13540197461212977,2.538787023977433,3.80818053596615,3.3173483779971793,8.91960507757405,0.8801128349788435,1.1170662905500706,2.301833568406206,1.066290550070522,3.4696755994358255,12.846262341325811,20.9,0.5589999999999999,0.013999999999999999,0.38799999999999996,11.5,29.0,20.5,4.5,1.7,5.2,8.5,17.0,4.8,5.5,10.3,0.233,2.0,2.5,4.6,33.76190476190476
Elden Campbell,POWER FORWARD,78,78,2337,5.653401797175866,12.847240051347882,0.0,0.09242618741976893,4.436456996148909,6.2541720154043645,2.418485237483954,6.947368421052632,1.602053915275995,0.9242618741976893,2.1566110397946088,2.2182284980744544,4.3132220795892176,15.743260590500643,16.4,0.505,0.006999999999999999,0.48700000000000004,7.7,21.9,14.8,8.1,1.4,4.4,12.4,22.8,1.9,4.5,6.4,0.131,-1.4,1.2,-0.3,29.96153846153846
Vince Carter,SMALL FORWARD,75,75,2979,9.208459214501511,20.012084592145015,1.957703927492447,4.7975830815709966,4.640483383685801,6.066465256797583,2.1268882175226587,2.900302114803625,3.516616314199396,1.3776435045317221,0.9909365558912386,2.0181268882175227,2.4773413897280965,25.01510574018127,25.0,0.551,0.24,0.303,6.5,9.3,7.9,19.2,2.0,1.9,8.2,30.7,10.3,2.6,12.9,0.20800000000000002,7.6,0.1,7.6,39.72
Sam Cassell,POINT GUARD,76,75,2709,7.136212624584718,15.043189368770765,0.39867109634551495,1.302325581395349,3.681063122923588,4.292358803986711,0.6112956810631229,3.2425249169435215,7.707641196013289,1.169435215946844,0.10631229235880399,2.9235880398671097,2.8438538205980066,18.35215946843854,20.1,0.542,0.087,0.285,1.9,10.1,6.1,36.4,1.7,0.2,14.7,24.9,7.0,1.4,8.5,0.15,2.5,-1.5,1.1,35.64473684210526
Doug Christie,SHOOTING GUARD,81,81,2939,3.8094589996597485,9.652262674379042,1.151412044913236,3.062266076896904,3.4297380061245324,3.821708063967336,1.1636611092208236,3.18475671997278,3.539979584892821,2.2415787682885338,0.5512078938414428,1.886355903368493,2.743790404899626,12.200068050357265,14.8,0.5379999999999999,0.317,0.396,3.6,9.3,6.5,14.6,3.2,1.0,14.3,16.2,4.3,4.4,8.7,0.141,0.0,2.3,2.3,36.28395061728395
Antonio Davis,CENTER,78,77,2729,4.946866984243313,11.423964822279222,0.0,0.0131916452913155,4.208134847929644,5.580065958226457,3.614510809820447,6.767314034444851,1.398314400879443,0.290216196408941,1.9919384389886405,1.7808721143275925,3.034078417002565,14.10186881641627,16.5,0.508,0.001,0.488,11.0,21.7,16.2,6.2,0.4,3.9,11.4,19.5,4.2,3.1,7.2,0.127,-0.3,-0.8,-1.1,34.98717948717949
Baron Davis,POINT GUARD,82,82,3192,4.612781954887218,10.793233082706767,0.9586466165413533,3.090225563909774,2.571428571428571,3.800751879699248,1.4548872180451127,3.1466165413533833,6.744360902255639,1.9172932330827066,0.40601503759398494,2.5488721804511276,3.0112781954887216,12.75563909774436,16.6,0.512,0.28600000000000003,0.35200000000000004,4.6,9.9,7.3,32.5,2.9,0.8,17.0,19.2,4.2,4.7,8.9,0.134,1.0,1.4,2.4,38.926829268292686
Hubert Davis,POINT GUARD,15,11,431,4.761020881670533,9.93967517401392,1.6705336426914152,3.174013921113689,1.5870069605568444,1.754060324825986,0.8352668213457076,1.6705336426914152,4.092807424593968,0.5011600928074246,0.0,2.088167053364269,2.422273781902552,12.779582366589327,9.1,0.5589999999999999,0.424,0.131,1.6,7.9,4.8,7.2,1.2,0.1,14.4,14.0,0.8,0.7,1.5,0.057999999999999996,-1.1,-0.6,-1.7,28.733333333333334
Michael Dickerson,SHOOTING GUARD,70,69,2618,5.8441558441558445,14.025974025974026,1.1825821237585943,3.1627196333078684,2.8326967150496563,3.712757830404889,0.9625668449197861,2.186401833460657,3.2039724980901454,0.852559205500382,0.3712757830404889,2.2276546982429335,2.8464476699770818,15.703590527119939,12.4,0.501,0.225,0.265,3.1,6.9,5.0,15.8,1.2,0.7,12.5,22.7,1.2,0.7,1.8,0.034,-0.7,-1.5,-2.2,37.4
Vlade Divac,CENTER,81,81,2420,5.414876033057851,11.231404958677686,0.05950413223140496,0.20826446280991737,3.6,5.206611570247934,3.0793388429752064,6.932231404958678,3.4363636363636365,1.2942148760330578,1.3834710743801653,2.856198347107438,3.6,14.489256198347107,17.7,0.536,0.019,0.46399999999999997,9.5,20.2,15.0,15.2,1.8,2.6,17.4,20.1,3.1,4.3,7.4,0.147,0.3,1.6,1.9,29.876543209876544
Tim Duncan,POWER FORWARD,82,82,3174,7.962192816635161,15.947069943289225,0.07939508506616258,0.3062381852551985,4.638941398865785,7.5085066162570895,2.937618147448015,8.370510396975426,2.7788279773156903,0.7939508506616257,2.177693761814745,2.7448015122873346,2.8015122873345937,20.64272211720227,23.8,0.536,0.019,0.47100000000000003,9.7,25.1,17.8,15.3,1.2,4.2,12.5,28.7,6.2,7.1,13.2,0.2,2.9,1.8,4.7,38.707317073170735
Howard Eisley,SHOOTING GUARD,82,40,2426,3.93239901071723,10.016488046166529,1.5877988458367684,3.9917559769167354,1.5432811211871393,1.8697444352844188,0.34130255564715584,2.582028029678483,4.37757625721352,1.4690849134377577,0.17807089859851608,1.5136026380873866,3.2349546578730424,10.995877988458368,11.7,0.507,0.39899999999999997,0.187,1.1,7.8,4.5,18.2,2.1,0.4,12.3,15.6,2.4,2.0,4.4,0.087,-0.5,0.6,0.0,29.585365853658537
Michael Finley,SMALL FORWARD,82,82,3443,7.434214347952367,16.22770839384258,0.9514957885564914,2.7499273889050246,2.63491141446413,3.398199244844612,1.1397037467325006,3.3040952657566076,3.7641591635201856,1.2338077258205054,0.33459192564623874,1.9866395585245424,1.8193435957014232,18.454835898925356,18.2,0.521,0.16899999999999998,0.209,3.6,10.0,6.9,18.3,1.8,0.7,10.1,24.9,5.6,2.9,8.5,0.11900000000000001,2.4,-0.5,1.9,41.98780487804878
Derek Fisher,POINT GUARD,20,20,709,3.9097320169252465,9.4950634696756,1.2693935119887165,3.1988716502115655,2.538787023977433,3.148095909732017,0.2538787023977433,2.7418899858956274,4.417489421720733,1.9802538787023976,0.10155148095909731,1.472496473906911,2.538787023977433,11.627644569816642,14.0,0.534,0.337,0.332,0.8,8.5,4.7,18.3,2.9,0.2,11.9,15.4,1.2,0.5,1.8,0.11900000000000001,-0.6,0.8,0.2,35.45
Danny Fortson,POWER FORWARD,6,6,203,5.142857142857143,8.866995073891626,0.0,0.0,7.448275862068966,9.576354679802956,5.142857142857143,12.236453201970443,0.8866995073891626,0.35467980295566504,0.0,1.7733990147783252,3.9014778325123154,17.733990147783253,24.4,0.6779999999999999,0.0,1.08,14.0,39.3,25.6,4.1,0.5,0.0,11.9,17.4,0.9,0.2,1.1,0.258,4.4,-1.4,3.0,33.833333333333336
Steve Francis,POINT GUARD,80,79,3194,6.1991233562930494,13.739511584220413,1.49906073888541,3.7871008140262994,4.035065748278021,4.936756418284283,2.1415153412648715,4.0914214151534125,5.827175954915466,1.5892298058860364,0.3494051346274264,2.9868503443957417,3.0882905447714464,17.93237319974953,21.6,0.563,0.276,0.359,7.1,12.8,10.0,28.4,2.3,0.7,15.8,24.2,9.2,3.0,12.2,0.184,4.5,0.5,5.0,39.925
Kevin Garnett,POWER FORWARD,81,81,3202,7.915053091817613,16.583385384134914,0.21361648969394129,0.7420362273579013,4.013741411617739,5.25046845721424,2.462211118051218,7.8925671455340405,4.508432229856339,1.2479700187382885,1.6302311055590255,2.5858838226108682,2.293566520924422,20.057464084946908,23.9,0.531,0.045,0.317,7.7,25.3,16.4,21.8,1.8,3.2,12.0,27.0,7.0,4.8,11.8,0.17600000000000002,4.5,1.4,6.0,39.53086419753087
Kendall Gill,SHOOTING GUARD,31,26,892,4.318385650224215,13.035874439461884,0.16143497757847533,0.5650224215246636,2.623318385650224,3.632286995515695,1.2914798206278026,3.9955156950672643,3.5112107623318383,1.8968609865470851,0.2825112107623318,1.9372197309417039,2.5829596412556053,11.421524663677129,10.1,0.39,0.043,0.27899999999999997,4.0,13.1,8.4,16.7,2.8,0.6,11.7,20.9,-1.1,0.8,-0.4,-0.021,-3.0,0.3,-2.7,28.774193548387096
Brian Grant,CENTER,82,79,2771,6.28798267773367,13.121616744857452,0.0,0.012991699747383616,3.6636593287621797,4.5990617105738,2.8191988451822447,6.508841573439192,1.3121616744857452,0.7795019848430169,0.9224106820642367,2.208588957055215,3.8065680259833994,16.23962468422952,17.5,0.536,0.001,0.35,9.3,21.5,15.4,7.2,1.2,2.0,12.7,23.4,3.7,5.0,8.7,0.151,-0.3,0.3,0.0,33.792682926829265
Horace Grant,POWER FORWARD,77,77,2390,3.9615062761506277,8.57071129707113,0.0,0.04518828451882845,1.9732217573221758,2.5456066945606692,3.313807531380753,4.895397489539749,1.8225941422594143,0.7682008368200837,0.9188284518828451,0.7230125523012552,2.7263598326359832,9.89623430962343,14.3,0.511,0.005,0.297,10.5,15.2,12.9,7.5,1.1,1.8,6.9,12.9,4.8,1.7,6.5,0.13,0.6,-0.6,0.0,31.038961038961038
Richard Hamilton,SMALL FORWARD,78,42,2519,7.817387852322351,17.849940452560542,0.5716554188169909,2.0865422786820167,3.958713775307662,4.558951965065503,1.0718539102818578,2.329495831679238,3.201270345375149,1.0718539102818578,0.14291385470424772,2.872568479555379,2.9011512504962287,20.165144898769352,15.7,0.508,0.11699999999999999,0.255,3.4,7.7,5.5,17.7,1.5,0.3,12.6,28.1,2.3,0.1,2.4,0.046,0.4,-2.6,-2.2,32.294871794871796
Tim Hardaway,POINT GUARD,77,77,2613,5.621125143513203,14.355912743972445,2.6039035591274398,7.122847301951779,1.9977037887485647,2.4936854190585533,0.3582089552238806,2.452353616532721,6.654420206659013,1.2399540757749712,0.08266360505166476,2.6039035591274398,2.1354764638346726,15.84385763490241,16.7,0.513,0.496,0.174,1.2,8.1,4.6,35.5,1.9,0.2,14.4,24.3,3.1,3.3,6.4,0.11800000000000001,2.8,-0.5,2.4,33.935064935064936
